Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1090	-555.919	-559.481	3.562043	11.25548	3.350404
1100	-552.8448	-561.9452	9.100435	15.33563	2.87163
1110	-543.8662	-558.2807	14.41445	13.78647	2.514634
1120	-551.4861	-562.3335	10.84739	19.10431	2.645827
1130	-553.7033	-563.7489	10.04558	15.23155	2.812236
1140	-541.3051	-558.8409	17.53582	13.96925	2.294326
1150	-553.3004	-564.9119	11.61144	13.65136	2.717251
1160	-545.6873	-560.7744	15.08719	12.51698	2.419787
1170	-556.0133	-563.9704	7.957107	10.98973	2.947191
1180	-543.3962	-556.8277	13.43144	15.48311	2.587992
1190	-557.2417	-561.4811	4.239377	11.26953	3.290413
1200	-553.1695	-568.5425	15.37304	14.89206	2.461109
1210	-555.6979	-565.7303	10.03236	14.88189	2.819917
1220	-545.6332	-558.3067	12.67347	21.30475	2.475983
1230	-544.076	-562.0534	17.97747	17.06654	2.29687
1240	-565.2308	-573.5727	8.341965	12.77623	2.960366
1250	-548.5401	-559.8391	11.29899	15.53794	2.724723
1260	-556.8154	-565.4019	8.586531	13.58363	2.939472
1270	-557.0502	-563.2811	6.230908	10.17369	3.058364
1280	-546.7013	-558.0402	11.33898	18.04111	2.656159
1290	-553.1061	-560.7774	7.671348	11.31897	2.987818
1300	-550.7441	-558.1629	7.418839	12.07596	3.02869
1310	-557.729	-565.4482	7.719217	13.95168	2.997383
1320	-546.0274	-559.3956	13.36823	18.19589	2.53959
1330	-552.9976	-564.8134	11.81586	15.94628	2.684113
1340	-557.4073	-566.2066	8.799325	15.22058	2.894346
1350	-561.5996	-569.1406	7.540935	12.55502	3.022814
1360	-552.6462	-557.7538	5.107549	10.4138	3.182948
1370	-545.8469	-559.1812	13.33439	16.60187	2.578254
1380	-547.6549	-557.0741	9.419152	14.92646	2.860195
1390	-548.3228	-558.4564	10.13352	14.45368	2.819568
1400	-552.1262	-561.8636	9.737409	12.97935	2.853221
1410	-552.8883	-558.9941	6.105797	15.71723	3.051702
1420	-555.3637	-559.425	4.061327	15.06119	3.213019
1430	-563.2331	-572.2169	8.983813	11.18538	2.865035
1440	-555.7883	-567.192	11.40374	12.61187	2.71669
1450	-558.1832	-575.3235	17.14033	20.55498	2.284818
1460	-542.3541	-554.5721	12.21801	16.82548	2.640284
1470	-552.4729	-560.5633	8.090353	12.40775	2.977796
1480	-554.3661	-564.8766	10.51052	15.21108	2.782099
1490	-553.3277	-565.9489	12.6212	13.49479	2.641225
1500	-548.1808	-559.726	11.54523	12.35367	2.697547
1510	-558.3394	-567.266	8.926637	14.45527	2.903039
1520	-557.8348	-563.998	6.163205	15.75635	3.046453
1530	-553.228	-557.5205	4.29251	12.00236	3.288081
1540	-564.8069	-570.8729	6.065938	11.03708	3.121007
1550	-554.0709	-567.0787	13.00782	13.08712	2.604088
1560	-556.3496	-563.0532	6.703637	11.64659	3.081681
1570	-549.5758	-560.0204	10.4446	15.64361	2.777346
1580	-553.5743	-561.0971	7.522797	16.47093	2.93347
1590	-558.3938	-560.7822	2.388464	9.325068	3.383993
1600	-553.1476	-560.7767	7.629138	12.77699	3.016159
1610	-554.3713	-557.2409	2.869621	12.43049	3.398016
1620	-562.6882	-565.2444	2.556251	11.26935	3.439765
1630	-559.2698	-563.3356	4.065754	11.33172	3.306491
1640	-558.5099	-562.9797	4.469786	12.22826	3.271666
1650	-565.4223	-572.3485	6.92622	9.583137	2.930756
1660	-550.4242	-562.856	12.43178	15.19163	2.655996
1670	-548.3845	-559.8664	11.48188	11.94545	2.686536
1680	-549.5057	-561.9625	12.45677	13.02499	2.644791
1690	-550.3878	-563.0088	12.621	14.92701	2.645684
1700	-555.1995	-557.667	2.467463	17.18647	3.198606
1710	-558.8794	-566.0322	7.152822	12.67311	3.053695
1720	-545.278	-558.704	13.42609	13.88527	2.587585
1730	-556.0154	-567.0435	11.02802	10.60336	2.633863
1740	-552.2706	-565.1762	12.90565	17.21472	2.590588
1750	-547.004	-557.6966	10.69261	16.10357	2.750684
1760	-554.3214	-565.4482	11.12678	16.74943	2.707241
1770	-545.3449	-559.5203	14.17535	16.70888	2.525897
1780	-548.0116	-562.5294	14.51782	16.50579	2.508312
1790	-542.7472	-556.7176	13.97035	17.02477	2.532464
1800	-561.085	-576.481	15.396	13.85897	2.445126
1810	-571.83	-571.2328	-0.5971554	12.55715	3.670905
