Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
447	1	-566.8562	-567.9202	1.064048	10.81211	3.574635
448	0	-548.8967	-557.5984	8.701663	12.74041	2.931983
449	1	-550.6735	-558.0953	7.421837	12.76805	3.032399
450	0	-551.3557	-559.9478	8.592098	14.49596	2.925357
451	1	-553.1633	-560.8095	7.646211	12.29328	3.012604
452	0	-557.4925	-568.8842	11.39167	12.94718	2.725179
453	1	-549.4042	-560.6512	11.24699	13.97356	2.744514
454	0	-555.238	-566.5832	11.34526	12.89989	2.727869
455	1	-552.2493	-560.3833	8.134009	12.33357	2.973436
456	0	-552.9144	-559.9188	7.004403	14.52107	3.034177
457	1	-555.8382	-560.636	4.797754	11.49692	3.244051
458	0	-549.3257	-557.648	8.322311	14.41123	2.945775
459	1	-540.9464	-554.8247	13.87836	15.72921	2.557063
460	0	-566.2067	-569.6975	3.490806	14.28843	3.286396
461	1	-548.8364	-559.4712	10.63484	13.86708	2.788651
462	0	-545.2151	-555.7772	10.5621	16.38602	2.751294
463	1	-551.7147	-557.1069	5.392174	17.25611	3.02501
464	0	-553.3373	-569.2641	15.92685	15.08242	2.425332
465	1	-549.4782	-558.454	8.975778	14.65806	2.895724
466	0	-555.7458	-565.9411	10.19529	17.12386	2.751004
467	1	-567.5935	-569.1212	1.527697	11.25891	3.531119
468	0	-546.9272	-560.4753	13.54811	15.94934	2.575443
469	1	-556.6396	-560.5285	3.888917	15.6876	3.194226
470	0	-552.2269	-568.7607	16.53383	14.72761	2.381094
471	1	-547.4393	-557.324	9.884663	15.86053	2.807529
472	0	-558.8475	-570.9745	12.12706	11.78151	2.623849
473	1	-555.8686	-563.6154	7.746791	12.98611	3.006563
474	0	-555.4896	-561.7918	6.302224	11.76179	3.117978
475	1	-555.7466	-561.091	5.344388	14.26645	3.157418
476	0	-559.6144	-569.8925	10.27818	12.19854	2.795791
477	1	-557.0593	-564.8652	7.805949	12.34036	3.000102
478	0	-551.4799	-562.0309	10.55096	15.08266	2.781762
479	1	-547.8558	-556.2264	8.370575	16.18385	2.892124
480	0	-552.3078	-560.8609	8.55314	14.129	2.934882
481	1	-549.4362	-562.3061	12.86993	16.50427	2.608179
482	0	-547.1482	-556.6137	9.4655	13.89786	2.872711
483	1	-547.7583	-557.4583	9.700016	12.8596	2.855008
484	0	-547.9128	-568.3113	20.39854	16.17343	2.148797
485	1	-558.6105	-564.0968	5.486204	11.51658	3.184475
486	0	-549.4842	-564.5055	15.02134	18.95642	2.431035
487	1	-541.14	-555.5602	14.42027	17.38917	2.499264
488	0	-563.8411	-570.461	6.619902	13.25752	3.089887
489	1	-548.6794	-562.0916	13.41215	15.3804	2.590122
490	0	-555.1913	-562.848	7.656682	15.79642	2.950266
491	1	-559.6782	-569.0309	9.352737	14.23907	2.876838
492	0	-539.5618	-548.6981	9.13621	11.95434	2.88316
493	1	-555.7751	-561.852	6.076878	11.22024	3.125962
494	0	-562.0893	-569.4179	7.328619	14.23676	3.019046
495	1	-556.0516	-562.2258	6.174258	13.12391	3.125693
496	0	-546.3995	-552.9434	6.543903	15.64743	3.026546
497	1	-548.5873	-558.6269	10.03957	15.36838	2.809667
498	0	-543.9212	-557.7719	13.85075	13.89278	2.557106
499	1	-553.4689	-562.2134	8.744565	13.79377	2.925818
500	0	-545.3654	-558.3314	12.96599	13.28728	2.611831
501	1	-551.5394	-561.8694	10.32994	11.87558	2.780267
502	0	-544.6091	-554.8471	10.23798	13.91579	2.81704
503	1	-556.9031	-569.0143	12.1112	16.4644	2.655039
504	0	-547.9174	-559.6145	11.69716	19.84854	2.57525
505	1	-553.0883	-559.1883	6.099995	11.55169	3.131858
506	0	-563.256	-569.2155	5.959537	12.49876	3.149112
507	1	-563.4776	-565.5291	2.051519	8.060349	3.246773
508	0	-556.3171	-562.7272	6.410046	13.51584	3.101074
509	1	-558.9301	-564.8321	5.902015	12.46037	3.153925
510	0	-545.2305	-555.0936	9.863112	11.91455	2.820974
511	1	-550.4971	-556.6896	6.192405	12.09943	3.130369
512	0	-547.8858	-557.6507	9.764888	13.64588	2.852536
513	1	-551.9832	-557.3153	5.332079	14.01146	3.166623
514	0	-558.2882	-563.3461	5.057893	11.88171	3.224221
515	1	-542.5404	-555.2531	12.71261	14.86725	2.639897
516	0	-557.1641	-559.0219	1.857887	7.59946	3.163629
517	1	-551.2475	-560.5639	9.316425	16.61288	2.819908
518	0	-545.5961	-553.6943	8.098211	13.99687	2.969455
519	1	-549.49	-555.3939	5.903976	15.82665	3.059945
520	0	-562.073	-569.7569	7.683947	11.4124	2.990149
521	1	-560.1778	-567.8951	7.717369	12.30528	3.006939
522	0	-555.2598	-562.5733	7.313577	11.87782	3.034305
523	1	-559.6245	-565.7776	6.15309	12.14969	3.133817
524	0	-551.0424	-559.3353	8.292955	13.93875	2.95646
525	1	-558.401	-567.0178	8.616755	19.37972	2.750767
526	0	-549.3353	-560.2757	10.94032	11.83793	2.727186
527	1	-563.5995	-571.7638	8.164275	13.71607	2.968947
528	0	-546.6546	-559.8861	13.23147	14.27321	2.604609
529	1	-549.4372	-558.3444	8.907202	10.80715	2.84889
530	0	-559.538	-563.4704	3.932385	11.60898	3.319606
531	1	-552.7705	-558.0171	5.246612	15.19914	3.128653
532	0	-550.3752	-557.7332	7.358032	15.07096	2.993825
533	1	-557.6516	-564.4016	6.750017	11.07826	3.060696
534	0	-546.3956	-557.7147	11.31909	17.60699	2.670992
535	1	-561.8576	-562.8048	0.9471951	13.27888	3.516763
536	0	-549.4319	-562.0265	12.5946	13.19931	2.638075
537	1	-546.8271	-557.1217	10.29458	14.41401	2.808887
538	0	-555.2958	-559.6264	4.330627	11.32821	3.283074
539	1	-552.8581	-563.6167	10.75859	14.89454	2.770933
540	0	-564.387	-565.793	1.405977	9.132051	3.473425
541	1	-563.576	-570.0359	6.459868	11.81426	3.105346
542	0	-554.3644	-562.9633	8.598982	12.19981	2.93347
543	1	-550.4164	-560.187	9.770646	12.23936	2.838457
544	0	-546.704	-561.3952	14.69123	15.24724	2.507217
545	1	-548.6775	-560.3484	11.67094	20.31707	2.559623
546	0	-546.4933	-558.3874	11.89411	12.59149	2.677201
547	1	-544.2956	-558.2419	13.94624	17.71113	2.519429
548	0	-560.1131	-570.7418	10.62877	15.23554	2.773874
549	1	-563.2496	-568.2658	5.016222	9.976448	3.16408
550	0	-556.5921	-565.1402	8.548064	17.60463	2.828468
551	1	-548.9252	-557.2	8.274842	11.47753	2.940892
552	0	-559.0709	-559.8934	0.8224647	13.35289	3.52257
553	1	-553.2846	-559.5493	6.264693	10.49248	3.076708
554	0	-551.5303	-559.5241	7.993821	12.29416	2.984338
555	1	-558.9057	-566.6338	7.728096	10.41575	2.931457
556	0	-548.9766	-557.8541	8.877498	12.36561	2.91369
557	1	-570.3599	-570.5185	0.158638	14.76534	3.490631
558	0	-553.9997	-559.4121	5.412351	12.29307	3.194318
559	1	-546.1838	-556.7224	10.53866	13.4885	2.795526
560	0	-547.9866	-554.2773	6.290656	11.98626	3.121472
561	1	-548.3978	-562.907	14.50917	16.79493	2.504594
562	0	-549.3514	-556.0962	6.7448	10.451	3.028236
563	1	-548.6821	-558.9829	10.30088	13.17298	2.811656
564	0	-552.7898	-568.5118	15.72206	15.23583	2.439572
565	1	-550.2192	-563.0387	12.81947	13.78878	2.63035
566	0	-558.8522	-563.7795	4.927297	10.23298	3.19016
567	1	-560.7026	-569.1356	8.433079	17.02725	2.857618
568	0	-548.4495	-558.4744	10.02488	12.27651	2.818675
569	1	-545.1741	-561.9831	16.80906	16.56342	2.369184
570	0	-551.478	-561.7454	10.26733	15.43325	2.793449
571	1	-550.701	-563.455	12.75397	13.0049	2.621466
572	0	-549.3949	-561.2063	11.81135	14.23685	2.704175
573	1	-553.8067	-559.7202	5.913461	14.74477	3.101608
574	0	-563.5684	-564.1947	0.6263101	10.16471	3.609058
575	1	-548.2752	-557.4448	9.169593	12.13522	2.885192
576	0	-549.5483	-556.0179	6.469621	14.83943	3.060749
577	1	-553.4508	-562.3217	8.870919	11.416	2.886301
578	0	-549.922	-560.4773	10.55533	15.96428	2.762718
579	1	-555.8124	-567.466	11.65365	13.8079	2.714977
580	0	-562.3366	-570.3079	7.971234	16.87777	2.890642
581	1	-550.8403	-562.9569	12.1167	14.5196	2.682122
582	0	-557.7761	-565.2312	7.455031	11.71987	3.018992
583	1	-552.727	-560.4279	7.700904	12.94016	3.010265
584	0	-551.6928	-560.6139	8.921117	14.22749	2.907335
585	1	-556.9434	-565.9774	9.034023	14.49864	2.894822
586	0	-551.7761	-557.782	6.005954	10.97225	3.124083
587	1	-546.8352	-559.9931	13.15785	17.0549	2.579528
588	0	-551.7626	-555.0952	3.332624	12.42908	3.360799
589	1	-560.6948	-564.0299	3.335058	17.96348	3.104226
590	0	-562.0554	-569.6165	7.56105	11.22792	2.994
591	1	-545.7226	-557.5168	11.79423	12.78347	2.690336
592	0	-561.8067	-565.8551	4.04833	13.70235	3.269508
593	1	-548.4785	-554.3133	5.834805	13.86906	3.134743
594	0	-562.4475	-566.3721	3.924607	14.89945	3.229534
595	1	-554.1978	-561.3849	7.187155	11.84471	3.044357
596	0	-556.2563	-565.7095	9.453218	16.66275	2.810035
597	1	-549.049	-557.7376	8.688522	12.72844	2.932933
598	0	-547.8148	-560.5498	12.73506	16.46066	2.617222
599	1	-550.1125	-555.4333	5.320831	11.32786	3.195657
600	0	-547.2476	-560.1542	12.9066	13.83617	2.624525
601	1	-547.1351	-558.6041	11.46899	12.82209	2.716641
602	0	-553.2125	-563.785	10.57247	18.07558	2.697448
603	1	-554.6554	-566.6611	12.00566	14.09386	2.690488
604	0	-551.9654	-562.8793	10.91392	17.67467	2.691822
605	1	-550.3122	-561.4863	11.17403	11.87277	2.70906
606	0	-555.8035	-565.3542	9.550727	14.91517	2.85161
607	1	-559.4958	-560.6959	1.200129	10.8158	3.562059
608	0	-556.5838	-564.0935	7.509728	13.34291	3.021872
609	1	-552.9116	-560.3952	7.483632	11.6579	3.015004
610	0	-555.6175	-566.2651	10.6476	19.46173	2.642878
611	1	-542.9968	-555.3091	12.31233	18.11948	2.599895
612	0	-549.1148	-556.6664	7.551579	12.65855	3.022214
613	1	-548.3927	-562.7449	14.3522	13.9579	2.522054
614	0	-556.311	-564.4951	8.184092	17.39962	2.857467
615	1	-552.9954	-561.1821	8.186677	10.93315	2.923124
616	0	-555.2038	-561.3331	6.129332	12.1362	3.135727
617	1	-558.4722	-560.9968	2.524639	8.226677	3.221371
618	0	-544.8949	-555.5097	10.61483	12.45418	2.775544
619	1	-551.3055	-561.7171	10.41162	13.92451	2.804525
620	0	-549.1573	-563.1051	13.94785	14.41622	2.555448
621	1	-550.726	-561.5139	10.7879	15.0071	2.767265
622	0	-554.0432	-564.6455	10.60239	14.20813	2.789309
623	1	-550.4063	-559.9371	9.530866	17.73992	2.767665
624	0	-550.6565	-560.3741	9.717631	10.89882	2.780661
625	1	-551.5591	-559.5163	7.957201	16.46343	2.907377
626	0	-540.7921	-553.5229	12.73078	15.84027	2.628391
627	1	-555.9172	-565.286	9.368868	14.7856	2.866458
628	0	-548.8265	-559.4701	10.64358	10.79698	2.687365
629	1	-560.2594	-567.2463	6.986907	14.0071	3.048618
630	0	-559.6525	-563.4161	3.763589	14.02815	3.277907
631	1	-563.5615	-573.0736	9.512051	11.22794	2.820238
632	0	-561.2959	-565.1773	3.881381	10.46604	3.302821
633	1	-555.3781	-563.6761	8.297941	15.91061	2.905913
634	0	-559.195	-563.2059	4.010874	15.18747	3.210503
635	1	-545.4273	-558.3072	12.87997	14.51638	2.629555
636	0	-547.9818	-557.0763	9.094486	19.32723	2.728309
637	1	-553.6624	-559.2554	5.592964	11.49995	3.174934
638	0	-555.7038	-561.1625	5.458651	13.80888	3.163605
639	1	-548.4705	-552.0705	3.600024	9.454777	3.266585
640	0	-567.1899	-573.139	5.949142	11.40428	3.14198
641	1	-557.4752	-561.7485	4.273309	9.683606	3.216391
642	0	-552.7403	-565.5659	12.82555	16.44815	2.611967
643	1	-557.9738	-560.5353	2.561468	11.07932	3.438789
644	0	-560.8301	-565.8924	5.062294	13.76725	3.193574
645	1	-558.6232	-563.4694	4.846202	12.77994	3.233915
646	0	-546.6315	-558.6576	12.02602	12.14082	2.650052
647	1	-553.5137	-560.9225	7.408822	14.56413	3.005182
648	0	-558.9274	-567.8534	8.926034	12.62799	2.913322
649	1	-565.6696	-568.2209	2.551274	10.43218	3.428955
650	0	-557.838	-562.7969	4.958838	11.64492	3.23148
651	1	-555.4059	-561.1042	5.69829	10.64271	3.138442
652	0	-546.6508	-556.2696	9.618793	16.90791	2.792016
653	1	-568.0467	-571.2125	3.165758	9.668666	3.329673
654	0	-551.9016	-561.653	9.751348	11.9411	2.831259
655	1	-546.7938	-559.195	12.40118	12.41012	2.630457
656	0	-552.182	-560.2147	8.03261	14.64603	2.960366
657	1	-543.0563	-558.3519	15.29562	18.62327	2.424338
658	0	-546.6026	-560.7985	14.19583	14.24103	2.536731
659	1	-550.4301	-560.47	10.03993	12.57444	2.82414
660	0	-549.0317	-561.8535	12.82185	13.50469	2.626511
661	1	-566.6858	-576.5037	9.817901	11.51087	2.808074
662	0	-558.8506	-562.5334	3.682871	10.71128	3.329812
663	1	-562.4261	-572.214	9.787908	13.74458	2.850439
664	0	-542.7137	-549.8518	7.138038	12.49886	3.054823
665	1	-551.5434	-563.5602	12.01688	12.81051	2.673618
666	0	-542.6747	-559.4339	16.75922	18.40657	2.349648
667	1	-553.4296	-563.608	10.17842	15.40141	2.799913
668	0	-556.1577	-563.4463	7.28865	12.51631	3.042822
669	1	-558.1755	-565.9488	7.773343	10.72259	2.948642
670	0	-557.5474	-564.2094	6.662036	17.60696	2.935493
671	1	-558.6249	-558.6927	0.06776783	12.15301	3.634553
672	0	-547.8832	-560.676	12.79279	16.15259	2.619423
673	1	-550.2385	-559.0507	8.812225	14.48025	2.910476
674	0	-557.9438	-563.6077	5.663951	11.20811	3.162447
675	1	-557.4544	-563.4603	6.005867	16.26487	3.034697
676	0	-561.3523	-567.3321	5.979793	12.57034	3.147056
677	1	-557.9425	-571.7715	13.82903	14.68457	2.56468
678	0	-551.0022	-560.1487	9.146547	14.16259	2.892422
679	1	-548.4318	-563.1489	14.71706	20.83884	2.394242
680	0	-555.7621	-569.956	14.19388	10.83067	2.362378
681	1	-549.2667	-560.4718	11.20518	15.608	2.729423
682	0	-553.4396	-563.403	9.963468	14.90098	2.824198
683	1	-557.2583	-559.4976	2.239288	14.73517	3.351294
684	0	-544.5324	-557.5358	13.00346	20.96931	2.472023
685	1	-561.4215	-560.1682	-1.253324	7.908335	3.632212
686	0	-548.5582	-561.2723	12.71408	17.72691	2.588576
687	1	-555.5273	-559.3129	3.785615	14.31954	3.264462
688	0	-558.2758	-561.1291	2.853222	9.273337	3.329273
689	1	-552.6942	-560.5767	7.882472	12.85093	2.99635
690	0	-556.4577	-563.4012	6.943525	12.24931	3.069507
691	1	-553.0494	-560.0833	7.033958	13.44023	3.05611
692	0	-555.8339	-562.4565	6.622541	14.09174	3.07249
693	1	-553.9069	-566.0669	12.15998	15.16819	2.674154
694	0	-545.7063	-553.5557	7.849418	16.33025	2.918927
695	1	-543.483	-555.6419	12.15891	16.25151	2.656669
696	0	-552.8869	-560.2772	7.3903	18.22902	2.866637
697	1	-558.0789	-565.8386	7.759727	12.36593	3.004086
698	0	-549.6801	-557.2783	7.598189	12.1818	3.015285
699	1	-568.1244	-567.4855	-0.6389458	11.27333	3.723194
700	0	-553.7485	-558.412	4.663443	12.13544	3.256519
701	1	-556.7958	-563.9547	7.158911	14.0167	3.036125
702	0	-566.5727	-566.6828	0.1100691	9.920094	3.654346
703	1	-550.1971	-558.0814	7.88431	16.61865	2.905891
704	0	-549.1746	-558.1067	8.932153	11.4597	2.882858
705	1	-544.497	-560.0143	15.51729	19.2517	2.397836
706	0	-551.7835	-558.9644	7.180896	13.95768	3.035839
707	1	-546.332	-559.9367	13.60474	18.61019	2.515492
708	0	-552.6821	-557.7078	5.025695	10.09904	3.171889
709	1	-564.9268	-565.5038	0.5769471	13.2245	3.547322
710	0	-563.9955	-567.0005	3.004999	17.01143	3.177305
711	1	-549.5297	-557.7328	8.203023	13.28978	2.970276
712	0	-548.5442	-558.5193	9.975045	15.81688	2.802971
713	1	-540.7743	-549.9267	9.152392	13.05394	2.898588
714	0	-549.4969	-561.7784	12.28152	14.90152	2.66863
715	1	-557.5493	-566.3064	8.757066	12.30113	2.922376
716	0	-555.4168	-563.9556	8.538826	17.19404	2.845051
717	1	-554.7945	-563.4588	8.664337	11.87836	2.920599
718	0	-556.6176	-561.3003	4.682708	14.49505	3.195081
719	1	-543.0194	-552.8583	9.838875	13.44132	2.847415
720	0	-556.1138	-563.1493	7.035476	13.54105	3.054383
721	1	-556.0862	-564.6842	8.598036	14.69841	2.920593
722	0	-544.7233	-555.9756	11.25226	14.32306	2.743011
723	1	-560.9336	-571.2694	10.33582	18.4524	2.696947
724	0	-545.6647	-556.6727	11.00798	11.94066	2.726005
725	1	-548.2139	-555.6452	7.431216	12.20101	3.029203
726	0	-546.3905	-559.9905	13.59992	18.02674	2.531202
727	1	-552.0304	-558.5447	6.51429	13.3558	3.096259
728	0	-561.9748	-563.379	1.404209	9.954097	3.525263
729	1	-558.5916	-559.392	0.8004678	7.842779	3.358858
730	0	-559.6142	-563.0503	3.436117	10.02542	3.325283
731	1	-549.8893	-554.6684	4.779124	13.03803	3.233958
732	0	-552.8186	-561.4282	8.609593	15.6968	2.893027
733	1	-544.6608	-553.4595	8.798717	17.12542	2.832503
734	0	-551.2856	-560.2151	8.929414	14.5616	2.900825
735	1	-545.2307	-554.083	8.852307	11.80531	2.902562
736	0	-556.0144	-565.091	9.076621	12.75845	2.902713
737	1	-561.8208	-567.9979	6.177091	12.53315	3.131553
738	0	-557.6025	-564.3328	6.730249	16.24291	2.991063
739	1	-550.2573	-560.1851	9.92772	12.47424	2.831131
740	0	-541.6794	-555.3563	13.67685	13.15583	2.554908
741	1	-553.212	-560.5759	7.363888	11.93113	3.031025
742	0	-549.2845	-555.9391	6.65453	9.421056	2.939222
743	1	-561.4297	-569.7303	8.30058	16.28383	2.892944
744	0	-545.6886	-559.8837	14.19509	15.48553	2.538656
745	1	-548.7262	-561.7869	13.06067	12.35037	2.574729
746	0	-548.7416	-558.0919	9.350305	14.07229	2.87915
747	1	-553.4186	-565.3825	11.96389	14.03021	2.693351
748	0	-550.1235	-555.58	5.456532	10.20049	3.136293
749	1	-552.5771	-567.6108	15.03365	14.00064	2.474024
750	0	-552.4375	-559.7554	7.317948	17.04145	2.922512
751	1	-552.9672	-568.9782	16.01096	19.82243	2.358561
752	0	-564.4444	-567.7474	3.302991	13.88156	3.316788
753	1	-555.1595	-562.2329	7.073419	10.33643	2.988501
754	0	-549.3786	-557.8419	8.463333	13.2085	2.951034
755	1	-550.8303	-561.1707	10.34036	15.55441	2.786049
756	0	-552.4003	-562.8531	10.45287	13.33511	2.801253
757	1	-555.1979	-568.2456	13.04767	16.60974	2.59537
758	0	-548.132	-561.6584	13.52641	13.03189	2.562873
759	1	-554.0709	-558.3184	4.247456	9.034133	3.149788
760	0	-552.0394	-558.0186	5.979273	9.682311	3.040087
761	1	-551.1148	-564.7681	13.65324	16.70217	2.557266
762	0	-556.9691	-563.4664	6.497332	9.695398	2.987992
763	1	-560.0487	-566.4037	6.35495	12.58872	3.117127
764	0	-556.8822	-565.4892	8.607019	12.25922	2.933876
765	1	-557.4538	-564.7344	7.280618	16.64254	2.941246
766	0	-553.2868	-572.6466	19.35984	14.72281	2.189079
767	1	-553.5228	-563.7942	10.27145	14.01152	2.814099
768	0	-542.9595	-558.6562	15.69667	17.18695	2.428854
769	1	-554.1668	-562.7226	8.555756	12.02311	2.933364
770	0	-541.9442	-557.6114	15.66719	14.77371	2.440373
771	1	-565.1613	-566.2927	1.131419	9.362697	3.521485
772	0	-562.9945	-572.4748	9.480255	17.91679	2.763896
773	1	-550.353	-555.095	4.741986	12.8562	3.240626
774	0	-557.8933	-567.6583	9.764966	12.63651	2.847021
775	1	-553.6081	-560.3353	6.727141	9.888035	2.984221
776	0	-557.6921	-569.5527	11.86058	12.22884	2.667286
777	1	-545.9172	-554.044	8.12677	12.0309	2.9692
778	0	-540.052	-557.6369	17.58483	14.37764	2.302239
779	1	-557.3878	-560.8799	3.492094	10.87535	3.351411
780	0	-552.5631	-568.5647	16.00166	20.88235	2.331415
781	1	-564.3256	-570.6545	6.328948	13.45668	3.108248
782	0	-549.0519	-565.5323	16.48037	16.39529	2.390065
783	1	-538.6466	-552.2782	13.63157	15.29066	2.576456
784	0	-545.9088	-554.0129	8.10416	11.61082	2.960307
785	1	-551.3572	-563.4549	12.09773	13.40385	2.678872
786	0	-557.5336	-563.421	5.887431	10.74024	3.12534
787	1	-548.2624	-563.7942	15.53177	16.11678	2.450096
788	0	-555.0429	-558.1533	3.110441	12.64045	3.37353
789	1	-554.9082	-566.9734	12.06513	14.89749	2.683187
790	0	-548.966	-554.331	5.364935	14.19098	3.158501
791	1	-549.0002	-557.5741	8.573984	14.59602	2.924496
792	0	-553.6575	-561.2785	7.620964	17.34042	2.892322
793	1	-550.7265	-563.3707	12.64421	14.57066	2.645697
794	0	-547.7141	-560.0144	12.3003	15.66988	2.65832
795	1	-556.234	-567.084	10.85002	15.10263	2.761609
796	0	-549.8596	-564.7979	14.93824	14.56176	2.488177
797	1	-547.0107	-558.3987	11.38808	15.34291	2.72234
798	0	-555.3566	-561.9582	6.601646	9.896648	2.997737
799	1	-544.6088	-556.3321	11.72326	10.74357	2.582299
800	0	-548.0568	-559.2146	11.15777	14.81586	2.74511
801	1	-550.7388	-557.282	6.543219	13.60957	3.089374
802	0	-567.4667	-574.7413	7.27456	12.36254	3.0433
803	1	-540.1054	-554.882	14.77659	12.6777	2.452336
804	0	-557.8604	-570.0126	12.15219	12.06079	2.63602
805	1	-559.2701	-566.7869	7.51671	12.66473	3.024975
806	0	-569.7492	-573.5014	3.752294	10.58311	3.319364
807	1	-555.3905	-567.0477	11.65722	13.61571	2.713653
808	0	-544.8853	-559.3045	14.41922	16.03997	2.519936
809	1	-546.7686	-554.3682	7.599595	13.55392	3.012546
810	0	-551.9327	-565.0988	13.16611	14.40313	2.609642
811	1	-556.3814	-561.9781	5.596663	13.27881	3.166625
812	0	-551.1008	-564.0377	12.93688	17.33841	2.585809
813	1	-552.7175	-562.5523	9.834712	11.36139	2.799001
814	0	-546.1539	-562.7682	16.6143	16.54967	2.38103
815	1	-543.5983	-558.8588	15.26049	13.68565	2.450824
816	0	-555.7706	-567.0163	11.24568	12.71237	2.731664
817	1	-550.0423	-560.0793	10.03702	11.65881	2.796018
818	0	-545.0363	-566.2703	21.234	16.73783	2.103704
819	1	-559.8203	-569.0181	9.197823	13.86799	2.89227
820	0	-556.455	-575.4168	18.9618	18.27775	2.231357
821	1	-551.6845	-557.6872	6.002763	13.5232	3.131046
822	0	-557.2526	-567.7871	10.53448	10.38788	2.659123
823	1	-557.3115	-565.1479	7.836365	13.13414	2.998986
824	0	-551.2685	-561.9514	10.68289	11.56131	2.735639
825	1	-548.0919	-556.9212	8.829288	14.68148	2.905222
826	0	-548.4421	-558.7116	10.26953	11.49714	2.768127
827	1	-554.2095	-561.231	7.021465	13.67156	3.053107
828	0	-552.1517	-556.7612	4.609487	16.32103	3.117783
829	1	-554.6066	-565.6914	11.08487	10.77043	2.644138
830	0	-554.4741	-567.1673	12.69321	14.94046	2.64076
831	1	-552.9841	-558.0303	5.046159	14.32579	3.176208
832	0	-540.5011	-554.4679	13.9668	16.17969	2.546388
833	1	-556.3264	-563.7208	7.394417	14.68855	3.002757
834	0	-550.0173	-560.3969	10.37964	15.49098	2.784925
835	1	-556.1128	-565.5342	9.421375	14.46424	2.868669
836	0	-550.9215	-560.3008	9.379348	13.63305	2.88086
837	1	-562.2346	-563.4958	1.261118	9.402005	3.510401
838	0	-554.3724	-558.8668	4.494366	17.33244	3.073047
839	1	-564.7746	-562.6599	-2.114685	7.455881	3.656324
840	0	-553.6867	-564.6113	10.92463	17.89027	2.684159
841	1	-558.1242	-560.6141	2.489945	9.403054	3.379789
842	0	-548.6261	-562.8506	14.22454	16.55378	2.525367
843	1	-557.9254	-566.0743	8.148958	16.39422	2.898263
844	0	-553.5407	-567.5975	14.05677	20.31082	2.442385
845	1	-552.8309	-564.6843	11.85334	12.63075	2.681591
846	0	-551.0837	-564.2182	13.13449	14.80193	2.611732
847	1	-565.3817	-572.4962	7.114414	13.36271	3.051231
848	0	-552.4892	-565.9465	13.4573	18.69386	2.521063
849	1	-550.6261	-562.2118	11.58567	15.46636	2.707483
850	0	-548.9989	-559.2342	10.23539	13.6989	2.817982
851	1	-546.2855	-560.3474	14.06196	15.70237	2.545623
852	0	-552.5933	-560.9167	8.323478	15.72331	2.910409
853	1	-565.1976	-570.271	5.07338	10.97809	3.209251
854	0	-546.6723	-558.8661	12.1938	13.1953	2.668368
855	1	-560.7442	-567.1666	6.422445	10.42347	3.057313
856	0	-543.7724	-554.1721	10.39972	15.02426	2.792832
857	1	-554.5861	-560.6233	6.037187	13.53979	3.128134
858	0	-555.6195	-565.7722	10.15275	18.51594	2.704505
859	1	-546.788	-563.7942	17.00622	18.37485	2.336759
860	0	-549.5432	-561.8035	12.26032	14.73461	2.671222
861	1	-559.4024	-571.1688	11.76645	11.58838	2.643551
862	0	-543.2497	-558.3527	15.10306	12.5409	2.419766
863	1	-551.8013	-558.2505	6.449201	22.77452	2.696685
864	0	-550.0926	-562.1822	12.08963	11.95066	2.635918
865	1	-548.6996	-562.5907	13.8911	13.03684	2.535044
866	0	-551.2548	-558.8824	7.627604	19.82862	2.781199
867	1	-552.9067	-560.7757	7.869082	11.9916	2.989888
868	0	-558.9881	-571.7024	12.71432	14.84827	2.639885
869	1	-555.4677	-562.209	6.741295	13.77855	3.071376
870	0	-548.6054	-561.9261	13.32076	10.91945	2.452157
871	1	-549.2157	-560.8956	11.6799	14.50808	2.712275
872	0	-551.9477	-563.994	12.04626	14.39061	2.687427
873	1	-549.0019	-559.3935	10.39155	14.74832	2.797848
874	0	-555.0418	-564.6395	9.597726	12.70127	2.861154
875	1	-563.0323	-565.7755	2.743276	11.2909	3.423191
876	0	-556.7945	-561.664	4.86949	14.70613	3.173956
877	1	-568.1226	-571.0005	2.877904	11.19316	3.410955
878	0	-557.815	-562.6896	4.874613	19.51611	2.936625
879	1	-564.7721	-564.6898	-0.08233694	15.76545	3.442235
880	0	-554.9122	-567.9466	13.03443	13.89803	2.615916
881	1	-552.1125	-558.4734	6.360923	13.92198	3.095493
882	0	-556.2796	-567.0581	10.77855	12.37007	2.760081
883	1	-565.5546	-568.2131	2.658517	8.446675	3.24451
884	0	-539.8252	-551.5969	11.77162	12.61957	2.687742
885	1	-554.2577	-566.1506	11.8929	13.11345	2.689763
886	0	-561.8381	-571.3633	9.525214	11.71988	2.842353
887	1	-564.9311	-570.435	5.503902	8.641674	2.945806
888	0	-551.7966	-559.7736	7.977004	17.64348	2.859289
889	1	-548.9368	-557.7863	8.849516	14.37553	2.90984
890	0	-544.9216	-555.4314	10.50983	14.52589	2.792717
891	1	-552.1838	-562.3303	10.14652	12.65565	2.817167
892	0	-555.6198	-567.3158	11.69603	19.15194	2.599769
893	1	-546.4823	-557.8706	11.38828	14.75514	2.730196
894	0	-554.7169	-561.9524	7.235447	14.59656	3.016186
895	1	-546.4884	-561.4436	14.95518	14.62212	2.487521
896	0	-554.5922	-562.4493	7.857094	13.51393	2.994034
897	1	-542.964	-555.5743	12.61033	13.51773	2.642359
898	0	-554.6243	-562.6923	8.06807	12.54538	2.980762
