Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-548.4836	-554.7847	6.301036	12.60066	3.121347
10	-543.6984	-555.1544	11.45605	14.33311	2.728736
20	-555.9028	-568.0911	12.18835	13.39679	2.672013
30	-552.2232	-561.8191	9.595933	10.00175	2.708063
40	-551.2073	-563.8861	12.67879	13.36658	2.634888
50	-556.6285	-563.5227	6.89414	11.3573	3.057696
60	-556.3266	-564.4437	8.117092	11.39593	2.951555
70	-554.2663	-561.3907	7.124448	12.96688	3.054628
80	-565.2999	-566.3327	1.03284	16.05249	3.35372
90	-559.5167	-561.4677	1.951058	9.545819	3.447425
100	-566.3698	-569.0466	2.676799	12.97023	3.397516
110	-547.6277	-559.9166	12.28892	17.05178	2.630555
120	-563.0041	-571.5837	8.579526	12.16449	2.934395
130	-560.2488	-570.6705	10.42174	11.16749	2.735308
140	-550.2397	-566.363	16.12331	18.7059	2.378201
150	-541.821	-554.0634	12.24237	12.76606	2.654797
160	-552.8439	-563.3968	10.55284	13.21534	2.792897
170	-556.5846	-564.4401	7.85553	15.84672	2.935944
180	-553.4613	-564.4933	11.03203	17.29009	2.697147
190	-548.4675	-568.9333	20.46573	17.38771	2.151607
200	-550.0389	-568.5784	18.53942	20.20791	2.223709
210	-551.6444	-561.0363	9.391897	11.96857	2.862207
220	-539.3134	-557.0704	17.75699	20.41966	2.257823
230	-551.3496	-564.4729	13.12334	13.01636	2.593379
240	-557.0823	-559.3209	2.238588	11.2295	3.468036
250	-541.7384	-559.0114	17.27298	15.25358	2.337954
260	-561.0552	-568.4022	7.347068	13.89818	3.025134
270	-547.8161	-557.4233	9.607184	14.18097	2.85968
280	-554.9282	-564.6751	9.746933	17.87151	2.750678
290	-549.5593	-561.4471	11.88772	12.37042	2.670428
300	-574.0194	-577.824	3.804537	11.38461	3.329915
310	-559.7289	-569.8224	10.09354	16.84325	2.765989
320	-553.4966	-563.4315	9.934871	13.11105	2.839061
330	-556.0172	-563.8623	7.845117	11.76305	2.986832
340	-555.6818	-563.1632	7.48141	12.62007	3.027708
350	-545.6859	-557.6027	11.91682	16.37268	2.668916
360	-552.7105	-565.666	12.95551	16.08326	2.610494
370	-541.6004	-552.7939	11.19343	13.26539	2.744998
380	-551.996	-558.6234	6.627489	13.78332	3.079531
390	-559.7819	-562.9837	3.201776	9.142319	3.277912
400	-551.6191	-557.2332	5.61416	14.42243	3.133314
410	-550.7528	-562.3181	11.56538	13.48756	2.7194
420	-547.6949	-553.9146	6.219667	9.364243	2.978223
430	-554.8288	-567.4102	12.58143	13.67921	2.646511
440	-546.127	-554.4987	8.371685	16.28359	2.888586
450	-547.6433	-559.1426	11.49924	14.10419	2.726406
460	-562.0703	-563.5535	1.483211	17.31348	3.247959
470	-543.9316	-557.3493	13.41769	14.81114	2.592584
480	-549.6532	-561.4128	11.75964	18.15588	2.629255
490	-562.8687	-570.1401	7.271406	14.72482	3.01009
500	-544.819	-559.0157	14.19671	15.87194	2.535547
510	-547.3208	-558.0216	10.7008	15.47427	2.764535
520	-555.0783	-562.439	7.360714	12.40691	3.036597
530	-549.4711	-557.8161	8.345021	11.1575	2.920775
540	-562.3925	-573.5469	11.15444	19.36898	2.620212
550	-549.6653	-566.0993	16.434	16.09304	2.394186
560	-554.8466	-558.4122	3.565534	11.88209	3.349819
570	-559.04	-564.5693	5.529303	10.02289	3.1163
580	-558.3599	-566.7037	8.343801	17.05458	2.861808
590	-546.5827	-558.468	11.88531	15.47431	2.687987
600	-553.7877	-564.3015	10.51382	12.74046	2.789747
610	-557.9664	-567.1877	9.221398	14.46949	2.882404
620	-557.023	-566.9857	9.962755	13.25625	2.837734
630	-550.6589	-562.2974	11.63848	15.79889	2.698148
640	-558.8131	-569.5393	10.72619	18.25069	2.682883
650	-573.8006	-578.1358	4.335237	11.56168	3.284683
660	-541.2437	-564.8714	23.62776	21.48708	1.959728
670	-549.5295	-559.405	9.87548	12.29299	2.831256
680	-550.3981	-564.9354	14.53734	14.36623	2.51409
690	-555.6296	-561.4169	5.787298	13.11947	3.155256
700	-546.9349	-554.8889	7.953984	14.35692	2.972548
710	-549.8014	-558.3299	8.528464	13.63263	2.943277
720	-548.8176	-553.8345	5.016986	11.75125	3.227196
730	-553.7654	-561.2574	7.49199	11.34015	3.004439
740	-552.8426	-557.4495	4.60691	11.70447	3.261957
750	-563.5205	-566.711	3.190487	11.34029	3.383756
760	-551.722	-561.3263	9.604254	13.79472	2.863487
770	-554.9956	-561.5099	6.514249	15.18904	3.045615
780	-551.7682	-561.6659	9.897724	11.81506	2.814384
