Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
54	0	-451.7327	-448.69	-3.042701	11025.15	12.62698	0.98792	0.996882	1.00307	1.01213	2.949409
55	1	-453.3486	-450.2985	-3.050107	73027.52	15.18627	0.9953	0.998795	1.0012	1.00471	2.917403
56	0	-449.9992	-458.2723	8.273046	33030.99	23.82907	0.993015	0.998205	1.00178	1.007	2.086689
57	1	-452.8794	-452.758	-0.1214345	42362.71	12.07777	0.993831	0.998416	1.00157	1.00618	2.699792
58	0	-457.0823	-452.113	-4.969268	82178.57	19.24428	0.995569	0.998864	1.00113	1.00444	2.864318
59	1	-468.0253	-464.186	-3.83931	63311.82	13.01681	0.994953	0.998705	1.00129	1.00506	3.01206
60	0	-464.2754	-458.8259	-5.449458	66635.13	9.48384	0.99508	0.998738	1.00125	1.00493	3.009478
61	1	-454.8277	-452.5475	-2.280257	55644.06	11.81991	0.994617	0.998619	1.00137	1.00539	2.870837
62	0	-466.5627	-467.9642	1.401485	32407.1	17.42887	0.992948	0.998188	1.00179	1.00707	2.58488
63	1	-454.579	-459.0744	4.495422	73059.88	17.36435	0.995301	0.998795	1.0012	1.00471	2.408294
64	0	-455.6454	-452.4645	-3.180895	76613.82	11.95316	0.995411	0.998823	1.00117	1.0046	2.950403
65	1	-464.9793	-459.2218	-5.757495	23112.94	11.2484	0.991651	0.997852	1.00212	1.00837	3.15535
66	0	-463.8493	-457.3744	-6.474975	90428.31	9.458551	0.995776	0.998917	1.00108	1.00423	3.114907
67	1	-455.366	-458.2295	2.863468	75407.25	20.08978	0.995375	0.998814	1.00118	1.00463	2.433217
68	0	-450.9721	-453.3799	2.40775	16137.85	14.40922	0.990012	0.997427	1.00254	1.01002	2.557291
69	1	-462.649	-455.0483	-7.600663	21133.54	13.96545	0.99127	0.997753	1.00222	1.00876	3.269724
70	0	-456.5642	-453.5858	-2.97839	13026.72	14.4369	0.988885	0.997134	1.00282	1.01116	2.930536
71	1	-451.9759	-453.6996	1.723685	51447.21	17.28859	0.994402	0.998563	1.00143	1.00561	2.569676
72	0	-454.0631	-450.2081	-3.855037	27959.92	13.82127	0.992408	0.998048	1.00193	1.00761	3.00413
73	1	-453.088	-448.1115	-4.976403	78787.91	13.69513	0.995475	0.99884	1.00115	1.00453	3.088075
74	0	-454.0687	-455.2297	1.161023	88305.44	14.81062	0.995726	0.998904	1.00109	1.00428	2.642802
75	1	-465.4139	-458.1888	-7.225156	90764.26	12.21951	0.995784	0.998919	1.00107	1.00422	3.286646
76	0	-463.5621	-459.4202	-4.141933	89423.59	14.97969	0.995753	0.998911	1.00108	1.00425	2.995793
77	1	-453.6601	-451.2799	-2.380155	62973.52	19.0981	0.994939	0.998702	1.00129	1.00507	2.735834
78	0	-458.2146	-457.8368	-0.3778138	58511.26	15.07736	0.99475	0.998653	1.00134	1.00526	2.743111
79	1	-448.134	-450.9	2.765998	58020.21	15.48038	0.994728	0.998647	1.00134	1.00528	2.533271
80	0	-453.5282	-455.1133	1.585098	7539.402	16.00232	0.985399	0.996223	1.0037	1.01468	2.602877
81	1	-469.4183	-459.3261	-10.09219	36099.78	9.979051	0.993318	0.998283	1.0017	1.0067	3.524578
82	0	-451.9666	-453.4535	1.486901	5700.387	16.52922	0.983215	0.99565	1.00425	1.01689	2.599828
83	1	-463.857	-454.5679	-9.289006	824.5273	8.977884	0.956086	0.988349	1.01096	1.04461	3.367644
84	0	-448.8902	-453.9952	5.104974	3362.755	14.25009	0.978166	0.994317	1.00551	1.022	2.366852
85	1	-466.9465	-459.3995	-7.546999	29826.25	11.88927	0.99265	0.998111	1.00187	1.00737	3.316082
86	0	-472.6502	-458.0246	-14.62565	7907.552	10.04394	0.985742	0.996313	1.00361	1.01433	3.978336
87	1	-460.1356	-456.1979	-3.937658	47036.41	8.95082	0.994145	0.998497	1.00149	1.00587	2.766741
88	0	-474.9839	-461.0463	-13.93764	77178.58	15.34698	0.995428	0.998828	1.00116	1.00458	3.622307
89	1	-456.394	-448.6274	-7.766556	23514.17	11.78484	0.991723	0.997871	1.00211	1.0083	3.335176
90	0	-460.7374	-453.7521	-6.985293	30920.9	10.85417	0.992781	0.998144	1.00184	1.00724	3.255573
91	1	-464.168	-454.8409	-9.327111	31558.05	10.56057	0.992854	0.998163	1.00182	1.00716	3.466931
92	0	-458.3938	-456.1581	-2.235659	15739.83	12.28399	0.989887	0.997394	1.00257	1.01015	2.879731
93	1	-462.492	-459.0483	-3.443718	93045.2	15.97918	0.995836	0.998933	1.00106	1.00417	2.917934
94	0	-460.3875	-458.2263	-2.161182	93938.08	17.84487	0.995856	0.998938	1.00106	1.00415	2.773801
95	1	-460.0007	-459.7711	-0.2295729	73538.2	11.55657	0.995317	0.998799	1.00119	1.00469	2.683429
96	0	-453.5876	-453.4783	-0.10932	92038.45	22.46996	0.995813	0.998927	1.00107	1.00419	2.490892
97	1	-464.5434	-459.0666	-5.476798	9887.969	10.6001	0.987246	0.996706	1.00324	1.01281	3.104474
98	0	-448.8104	-456.4746	7.664142	47640.22	16.3977	0.994182	0.998507	1.00148	1.00583	2.225596
99	1	-465.2457	-459.5913	-5.65439	97277.87	13.52235	0.995928	0.998956	1.00104	1.00408	3.14173
100	0	-449.2202	-449.6522	0.4320337	77552.52	11.96682	0.995439	0.99883	1.00116	1.00457	2.648808
101	1	-456.1216	-456.8261	0.7044881	43369.11	14.09341	0.993903	0.998434	1.00155	1.00611	2.675462
102	0	-460.5081	-455.2415	-5.266655	72373.55	15.77009	0.995279	0.998789	1.0012	1.00473	3.040624
103	1	-456.5493	-460.9023	4.352957	31008.92	12.56442	0.992791	0.998147	1.00183	1.00723	2.360264
104	0	-462.2562	-458.8031	-3.453163	16692.5	13.33813	0.990179	0.99747	1.0025	1.00986	2.980687
105	1	-463.1906	-452.0024	-11.18819	26718.02	9.042732	0.992234	0.998003	1.00198	1.00779	3.584715
106	0	-462.847	-455.3683	-7.478698	16920.41	16.26707	0.990245	0.997487	1.00248	1.00979	3.155805
107	1	-457.2472	-455.8789	-1.368282	17355.14	12.1047	0.990368	0.997519	1.00245	1.00967	2.80389
108	0	-450.8502	-450.0708	-0.7793688	14615.96	14.64891	0.989506	0.997295	1.00267	1.01053	2.775916
109	1	-458.8318	-457.8645	-0.9673059	25343.43	10.75486	0.992027	0.997949	1.00203	1.008	2.692881
110	0	-452.2276	-452.7079	0.4802355	72923.01	11.4742	0.995297	0.998794	1.0012	1.00471	2.616707
111	1	-459.3955	-459.0937	-0.3017628	73644.47	13.27124	0.99532	0.9988	1.00119	1.00469	2.743726
112	0	-452.1133	-453.7275	1.614235	41768	13.88261	0.993787	0.998405	1.00158	1.00623	2.609086
113	1	-457.1763	-453.0967	-4.079622	88887.33	12.66675	0.99574	0.998908	1.00109	1.00427	3.031561
114	0	-461.254	-459.4599	-1.794077	8118.442	14.73405	0.985928	0.996362	1.00357	1.01414	2.843714
115	1	-454.5127	-449.6367	-4.875938	38192.87	13.67793	0.993503	0.998331	1.00165	1.00651	3.081098
116	0	-479.3646	-460.8398	-18.52476	98064.01	12.8888	0.995944	0.99896	1.00103	1.00406	4.15192
117	1	-445.0431	-452.2537	7.21063	34668.74	14.72776	0.993182	0.998248	1.00174	1.00683	2.232415
118	0	-456.1281	-457.3222	1.194113	64581.03	10.36314	0.995003	0.998718	1.00127	1.00501	2.446873
119	1	-455.5692	-460.0822	4.512919	82947.23	16.06217	0.99559	0.998869	1.00112	1.00442	2.419682
120	0	-466.595	-457.626	-8.969046	62415.36	11.76884	0.994917	0.998696	1.00129	1.00509	3.437425
121	1	-456.3494	-456.3316	-0.01779129	49985.58	14.47645	0.99432	0.998542	1.00145	1.00569	2.72522
122	0	-455.9753	-455.1944	-0.7809215	54510.81	12.52326	0.994561	0.998604	1.00139	1.00545	2.767883
123	1	-461.3443	-457.937	-3.407359	56616.62	14.73571	0.994663	0.99863	1.00136	1.00535	2.953166
124	0	-454.0865	-455.468	1.381533	97965.22	11.63157	0.995942	0.99896	1.00103	1.00406	2.549127
