Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
491	1	-458.7535	-457.9307	-0.8228143	44309.04	18.92046	0.993968	0.998451	1.00154	1.00605	2.660838
492	0	-460.6496	-461.0153	0.3657203	55978.54	15.26256	0.994633	0.998623	1.00137	1.00538	2.691478
493	1	-453.1225	-454.085	0.9624069	76879.32	15.63016	0.995419	0.998825	1.00117	1.00459	2.647728
494	0	-446.7658	-449.7199	2.9541	66305.52	14.54358	0.995068	0.998735	1.00126	1.00494	2.520416
495	1	-452.4175	-453.7741	1.356537	90866.66	14.97853	0.995786	0.99892	1.00107	1.00422	2.628739
496	0	-460.765	-457.366	-3.399009	28934.34	11.72747	0.992537	0.998081	1.0019	1.00748	2.962989
497	1	-463.0305	-459.0788	-3.951705	28018.42	11.66705	0.992416	0.99805	1.00193	1.0076	3.00859
498	0	-464.8659	-456.8583	-8.007598	46116.48	10.66921	0.994087	0.998482	1.00151	1.00593	3.345248
499	1	-470.8357	-463.5554	-7.280267	7769.268	12.19872	0.985616	0.99628	1.00365	1.01446	3.291382
500	0	-455.8511	-455.2754	-0.57564	46038.76	18.65547	0.994082	0.998481	1.00151	1.00593	2.657227
501	1	-454.4101	-453.2577	-1.152417	89976.87	11.01452	0.995766	0.998914	1.00108	1.00424	2.730293
502	0	-451.4821	-456.466	4.983824	6738.119	13.24606	0.984558	0.996003	1.00391	1.01553	2.344412
503	1	-451.005	-451.4726	0.4676286	31105.86	13.71178	0.992802	0.99815	1.00183	1.00722	2.690682
504	0	-453.6124	-452.2725	-1.339914	89964.1	12.62922	0.995765	0.998914	1.00108	1.00424	2.814597
505	1	-453.4623	-452.5303	-0.9319593	42396.82	17.96499	0.993833	0.998417	1.00157	1.00618	2.700805
506	0	-454.6268	-457.5687	2.941818	63434.94	13.74176	0.994958	0.998706	1.00128	1.00505	2.510843
507	1	-469.1399	-459.1448	-9.995095	92258.18	9.248671	0.995818	0.998928	1.00107	1.00419	3.471265
508	0	-457.6805	-457.0352	-0.6453676	36117.6	14.92084	0.99332	0.998284	1.0017	1.0067	2.763241
509	1	-464.9749	-456.8364	-8.138567	83020.76	10.51654	0.995592	0.99887	1.00112	1.00441	3.352979
510	0	-447.4921	-457.8523	10.36018	17272.78	19.73329	0.990345	0.997513	1.00245	1.00969	2.063686
511	1	-474.1358	-465.6135	-8.522333	29173.58	12.94746	0.992568	0.998089	1.00189	1.00745	3.374043
512	0	-450.1068	-449.097	-1.009797	50718.22	12.46401	0.994361	0.998553	1.00144	1.00565	2.784755
513	1	-460.8775	-456.5153	-4.362216	228.5394	13.04177	0.917215	0.977292	1.02021	1.08529	3.05203
514	0	-461.4777	-457.8212	-3.656521	94671.53	10.89313	0.995872	0.998942	1.00105	1.00413	2.951115
515	1	-459.8096	-458.5391	-1.270533	96172.37	13.52464	0.995904	0.99895	1.00104	1.0041	2.817539
516	0	-447.8045	-456.7508	8.946234	300.6527	18.39126	0.927673	0.980337	1.01776	1.07423	2.148736
517	1	-463.2811	-459.9525	-3.328617	87555.46	16.44613	0.995708	0.9989	1.00109	1.0043	2.894215
518	0	-446.2361	-452.1207	5.884532	375.7	15.83297	0.935204	0.982498	1.01598	1.06632	2.333757
519	1	-453.5467	-456.2023	2.655588	77221.7	16.92776	0.99543	0.998828	1.00116	1.00458	2.522576
520	0	-451.2677	-452.4539	1.18619	38936.62	14.82087	0.993566	0.998347	1.00164	1.00645	2.641052
521	1	-460.8757	-460.4105	-0.465219	18259.52	14.21513	0.990609	0.997582	1.00239	1.00942	2.75793
522	0	-460.6064	-461.1527	0.5463749	99229	15.5358	0.995968	0.998966	1.00103	1.00404	2.675823
523	1	-445.7054	-449.0266	3.321211	35168.82	12.14439	0.99323	0.998261	1.00172	1.00679	2.41898
524	0	-458.3113	-455.2136	-3.097642	99229	12.32014	0.995968	0.998966	1.00103	1.00404	2.950439
525	1	-458.3162	-463.4918	5.175557	76618.84	19.90433	0.995412	0.998823	1.00117	1.0046	2.322488
526	0	-475.6418	-459.5134	-16.12833	23853.66	13.1036	0.991782	0.997886	1.00209	1.00824	3.949414
527	1	-459.8023	-457.6794	-2.122872	5862.68	18.71966	0.983448	0.995711	1.00419	1.01665	2.737606
528	0	-456.3638	-454.096	-2.26781	99740.91	12.85748	0.995978	0.998969	1.00103	1.00403	2.890366
529	1	-461.4403	-464.044	2.603742	79576.14	13.10064	0.995498	0.998846	1.00115	1.00451	2.519785
530	0	-454.6877	-458.1389	3.451265	22817.71	14.65237	0.991598	0.997838	1.00214	1.00843	2.487141
531	1	-457.9139	-459.3746	1.460787	11080.92	14.34152	0.987951	0.99689	1.00306	1.0121	2.622872
532	0	-459.0843	-458.1603	-0.9239655	16442.56	12.27644	0.990105	0.997451	1.00251	1.00993	2.772725
533	1	-465.5026	-456.2794	-9.223194	26416.54	10.62849	0.99219	0.997992	1.00199	1.00783	3.458451
534	0	-466.8036	-463.391	-3.412524	38370.71	14.1428	0.993518	0.998335	1.00165	1.0065	2.966665
535	1	-477.0524	-463.9066	-13.14576	5927.932	8.68609	0.983539	0.995735	1.00417	1.01656	3.775547
536	0	-457.2828	-452.6897	-4.59311	8700.611	12.18941	0.986406	0.996487	1.00345	1.01366	3.071031
537	1	-463.4745	-458.5742	-4.900289	26846.53	15.36437	0.992253	0.998008	1.00197	1.00777	3.032801
538	0	-449.4613	-454.7028	5.241543	50417.85	16.68308	0.994345	0.998548	1.00144	1.00567	2.37172
539	1	-458.475	-458.9453	0.4702334	52378.21	13.60517	0.994451	0.998576	1.00141	1.00556	2.68962
540	0	-452.4209	-454.3149	1.893994	95791.93	15.36963	0.995896	0.998948	1.00105	1.00411	2.590548
541	1	-454.871	-452.5134	-2.357643	44337.54	14.47062	0.99397	0.998452	1.00154	1.00604	2.886954
542	0	-459.9502	-455.5383	-4.411828	52289.05	10.61284	0.994447	0.998575	1.00141	1.00556	3.004801
543	1	-456.7823	-452.9231	-3.859146	87358.22	11.8837	0.995703	0.998898	1.0011	1.0043	3.005784
544	0	-467.4957	-462.5489	-4.946738	76535.74	11.87256	0.995409	0.998823	1.00117	1.0046	3.097159
545	1	-468.947	-463.0995	-5.847577	69817.02	14.83866	0.995193	0.998767	1.00122	1.00481	3.114976
546	0	-450.8948	-449.6705	-1.224292	32522.44	15.85199	0.99296	0.998191	1.00179	1.00706	2.782272
547	1	-454.7695	-458.5324	3.762917	71216.19	14.10145	0.995241	0.998779	1.00121	1.00477	2.458593
548	0	-475.6696	-461.1496	-14.52	62984.44	8.355758	0.99494	0.998702	1.00129	1.00507	3.906933
549	1	-456.1001	-460.0788	3.97873	18985.78	18.02581	0.99079	0.997629	1.00234	1.00924	2.42628
550	0	-458.517	-451.7149	-6.802084	41217.82	12.49494	0.993746	0.998394	1.00159	1.00627	3.249069
551	1	-457.9851	-453.1876	-4.797505	39366.73	11.66711	0.993601	0.998356	1.00163	1.00641	3.081086
552	0	-461.1983	-452.8486	-8.34976	8209.747	9.354271	0.986006	0.996382	1.00355	1.01406	3.303691
553	1	-451.779	-446.3751	-5.403911	81981.84	9.901173	0.995564	0.998863	1.00113	1.00444	3.047923
554	0	-453.2145	-453.9787	0.7642151	32445.6	14.62719	0.992952	0.998189	1.00179	1.00707	2.670648
555	1	-460.6235	-459.0265	-1.597073	56948.07	15.41718	0.994679	0.998635	1.00136	1.00533	2.816597
556	0	-449.1084	-451.1705	2.062073	25646.21	14.24055	0.992074	0.997962	1.00202	1.00795	2.580322
557	1	-461.1526	-457.5821	-3.570449	62182.44	12.91421	0.994907	0.998693	1.0013	1.0051	2.991637
558	0	-460.0609	-459.5164	-0.5445244	67533.45	12.85194	0.995113	0.998746	1.00125	1.0049	2.756236
559	1	-447.6911	-455.6351	7.943979	26501.33	17.89794	0.992203	0.997995	1.00198	1.00782	2.207187
560	0	-465.7156	-459.2548	-6.460755	31226.12	11.18581	0.992816	0.998154	1.00183	1.0072	3.216543
561	1	-452.7693	-453.448	0.6787547	40497.06	14.06597	0.993691	0.99838	1.00161	1.00632	2.67722
562	0	-458.5466	-465.431	6.884341	40891.18	17.13618	0.993721	0.998387	1.0016	1.00629	2.271968
563	1	-453.8159	-448.025	-5.790861	64305.95	10.48026	0.994992	0.998715	1.00128	1.00502	3.127747
564	0	-463.0086	-458.2009	-4.807687	53031.55	11.31	0.994486	0.998585	1.0014	1.00553	3.072893
565	1	-458.1792	-454.0638	-4.115416	19241.62	12.15739	0.990851	0.997645	1.00233	1.00918	3.031483
566	0	-459.9226	-455.3857	-4.536881	72552.01	16.8871	0.995285	0.998791	1.0012	1.00472	2.949208
567	1	-460.6431	-459.6971	-0.9459501	91301.77	13.70294	0.995796	0.998922	1.00107	1.00421	2.793776
568	0	-461.9349	-453.3023	-8.632651	44007.39	12.59153	0.993947	0.998446	1.00154	1.00607	3.393067
569	1	-459.798	-450.623	-9.174975	99559.63	11.68384	0.995974	0.998968	1.00103	1.00403	3.456076
570	0	-462.0093	-454.7824	-7.22698	15960.92	11.65413	0.989957	0.997412	1.00255	1.01008	3.289289
571	1	-467.2207	-462.6529	-4.567742	53169.65	13.0991	0.994493	0.998587	1.0014	1.00552	3.067216
572	0	-456.4646	-451.2974	-5.167173	65871.8	10.01575	0.995052	0.998731	1.00126	1.00496	3.034231
573	1	-467.2352	-459.503	-7.732215	19848.94	9.380477	0.990992	0.997681	1.00229	1.00904	3.240297
574	0	-457.1957	-452.6485	-4.547208	91490.14	14.9727	0.995801	0.998924	1.00107	1.00421	3.023075
575	1	-457.5133	-456.606	-0.907303	47198.63	10.69201	0.994155	0.9985	1.00149	1.00586	2.681799
576	0	-457.0377	-459.8889	2.851245	15555.38	13.10698	0.989827	0.997379	1.00258	1.01021	2.501099
577	1	-455.53	-457.7491	2.219074	5789.156	16.64269	0.983344	0.995684	1.00422	1.01676	2.553599
578	0	-459.6237	-465.2311	5.607377	7651.793	15.32201	0.985506	0.996251	1.00367	1.01457	2.348561
579	1	-457.9161	-463.2936	5.377514	40644.42	14.1843	0.993702	0.998383	1.0016	1.00631	2.346168
580	0	-453.9252	-447.1739	-6.751234	67950.51	8.740416	0.995128	0.99875	1.00124	1.00488	3.048479
581	1	-460.3437	-456.6213	-3.722398	41984.34	16.18648	0.993803	0.998409	1.00158	1.00621	2.927869
582	0	-454.9857	-456.5318	1.546101	409.2626	16.01526	0.937886	0.983261	1.01534	1.06351	2.605117
583	1	-455.034	-455.7001	0.6660862	70858.46	11.68417	0.995229	0.998776	1.00122	1.00478	2.613816
584	0	-446.9898	-451.2199	4.230059	19861.47	14.7381	0.990995	0.997682	1.00229	1.00903	2.434897
585	1	-461.8988	-459.0384	-2.860424	75835.91	12.7749	0.995388	0.998817	1.00118	1.00462	2.936052
586	0	-457.6368	-458.4782	0.8414425	37065.89	15.06894	0.993405	0.998306	1.00168	1.00661	2.662323
587	1	-467.5651	-463.4236	-4.141475	31341.96	11.65044	0.992829	0.998157	1.00182	1.00719	3.024439
588	0	-449.6611	-448.9396	-0.7214915	66032.75	12.83712	0.995058	0.998732	1.00126	1.00495	2.769749
589	1	-467.4509	-465.5326	-1.918294	21473.14	15.69193	0.991339	0.997771	1.0022	1.00869	2.830402
590	0	-464.7591	-458.3393	-6.41979	21290.04	11.36574	0.991302	0.997762	1.00221	1.00872	3.216416
591	1	-454.2068	-453.112	-1.094878	87916.93	14.33879	0.995716	0.998902	1.00109	1.00429	2.8011
592	0	-455.9052	-450.9589	-4.946286	38342.89	16.49811	0.993516	0.998335	1.00165	1.0065	2.990361
593	1	-466.0075	-462.5377	-3.46977	37320.48	12.42537	0.993428	0.998312	1.00167	1.00659	2.981771
594	0	-464.2492	-453.1349	-11.11428	28514.38	13.29885	0.992483	0.998067	1.00191	1.00754	3.557063
595	1	-465.594	-456.2111	-9.3829	57466.14	12.888	0.994703	0.998641	1.00135	1.00531	3.442661
596	0	-454.3015	-455.0216	0.7200395	75350.57	11.39389	0.995373	0.998813	1.00118	1.00463	2.59024
597	1	-466.7581	-455.749	-11.00913	32453.08	7.742202	0.992953	0.998189	1.00179	1.00706	3.375058
598	0	-476.8493	-478.4389	1.589563	18590.21	14.18811	0.990693	0.997603	1.00237	1.00934	2.613241
599	1	-471.306	-466.1781	-5.127896	64974.97	10.05822	0.995018	0.998722	1.00127	1.00499	3.033917
600	0	-459.4622	-458.5521	-0.9100122	89863.92	11.97192	0.995763	0.998914	1.00108	1.00424	2.761153
601	1	-467.0725	-464.2583	-2.814262	9133.539	13.20309	0.986731	0.996572	1.00337	1.01333	2.933229
602	0	-466.4918	-468.5973	2.105496	53360.79	16.72021	0.994503	0.998589	1.0014	1.00551	2.559021
603	1	-459.8583	-454.4412	-5.417103	30796.56	17.48917	0.992766	0.998141	1.00184	1.00725	2.97325
604	0	-454.3493	-450.7225	-3.626815	4795.055	15.24177	0.981704	0.995252	1.00463	1.01842	2.953702
605	1	-453.0185	-451.3315	-1.687012	28934.23	13.66435	0.992537	0.998081	1.0019	1.00748	2.848002
606	0	-456.3384	-454.6587	-1.679709	31487.35	14.78055	0.992846	0.998161	1.00182	1.00717	2.835142
607	1	-464.9694	-457.3839	-7.585528	53722.42	9.34612	0.994521	0.998594	1.0014	1.00549	3.221152
608	0	-448.1356	-446.1199	-2.015766	32233.45	12.85821	0.992929	0.998183	1.0018	1.00709	2.87077
609	1	-453.304	-448.7146	-4.589452	33596.98	10.69038	0.993074	0.99822	1.00176	1.00694	3.02609
610	0	-462.1264	-459.4731	-2.653255	18573.46	15.639	0.990689	0.997602	1.00237	1.00934	2.878796
611	1	-460.9921	-456.9258	-4.066288	3856.145	11.709	0.979605	0.994698	1.00515	1.02054	3.019448
612	0	-454.5629	-452.1268	-2.436168	53752.76	19.83351	0.994523	0.998594	1.0014	1.00549	2.707908
613	1	-465.2652	-457.1986	-8.066564	22337.43	14.54355	0.991508	0.997815	1.00216	1.00852	3.278186
614	0	-452.0049	-451.2446	-0.7602933	65563.29	13.27601	0.99504	0.998728	1.00126	1.00497	2.778316
615	1	-467.0309	-463.5281	-3.502793	42684.53	13.3902	0.993854	0.998422	1.00156	1.00616	2.983955
616	0	-459.2998	-462.9399	3.640036	59859.53	14.2445	0.994809	0.998668	1.00132	1.0052	2.469573
617	1	-459.9111	-454.685	-5.226027	74201.66	10.13232	0.995338	0.998804	1.00119	1.00467	3.049653
618	0	-455.1699	-455.7845	0.6146573	34210.74	10.82065	0.993136	0.998236	1.00175	1.00688	2.552202
619	1	-467.9036	-462.5023	-5.401305	1467.758	10.6763	0.967019	0.991332	1.00828	1.03337	3.101326
620	0	-453.1637	-451.2788	-1.88493	57411.99	11.93844	0.9947	0.99864	1.00135	1.00531	2.841502
621	1	-455.4299	-454.0173	-1.412577	25738.72	16.64899	0.992088	0.997965	1.00201	1.00793	2.77162
622	0	-468.1266	-466.1692	-1.957379	23526.46	18.47894	0.991725	0.997871	1.0021	1.0083	2.738201
623	1	-471.4645	-463.616	-7.848446	90434.74	11.66238	0.995776	0.998917	1.00108	1.00423	3.342596
624	0	-454.6653	-454.455	-0.2102969	73178.62	13.21209	0.995305	0.998796	1.0012	1.0047	2.73612
625	1	-466.0839	-460.1291	-5.954795	3641.804	10.52797	0.979016	0.994542	1.0053	1.02114	3.145926
626	0	-460.334	-453.7852	-6.548789	61735.77	14.12928	0.994889	0.998689	1.0013	1.00512	3.188889
627	1	-461.6664	-462.616	0.9495964	20071.32	13.24775	0.991042	0.997694	1.00228	1.00899	2.649004
628	0	-455.4352	-451.862	-3.573238	2313.281	9.92825	0.973697	0.993127	1.00663	1.02655	2.865953
629	1	-471.6984	-463.8748	-7.823514	60598.08	10.5022	0.994841	0.998676	1.00131	1.00517	3.322505
630	0	-451.2801	-447.0987	-4.181441	23634.29	14.35681	0.991744	0.997876	1.0021	1.00828	3.015909
631	1	-459.4725	-455.7045	-3.76793	94437.99	10.21201	0.995867	0.998941	1.00105	1.00414	2.912965
632	0	-460.5793	-456.9542	-3.625128	18727.05	10.3137	0.990727	0.997612	1.00236	1.0093	2.907816
633	1	-456.0322	-450.6973	-5.334856	21931.96	10.29985	0.99143	0.997795	1.00218	1.0086	3.072641
634	0	-457.7285	-457.7812	0.0527079	59498.03	13.98275	0.994794	0.998664	1.00133	1.00522	2.721718
635	1	-465.2868	-460.3409	-4.945912	79665.46	13.93576	0.9955	0.998846	1.00115	1.00451	3.080356
636	0	-464.4614	-463.5517	-0.9097261	40636.36	13.98778	0.993701	0.998382	1.0016	1.00631	2.790527
637	1	-459.2479	-458.6376	-0.6102405	54935.76	15.85006	0.994582	0.99861	1.00138	1.00543	2.743579
638	0	-468.0811	-470.2941	2.213004	67110.61	14.90706	0.995098	0.998742	1.00125	1.00491	2.571692
639	1	-463.2525	-461.8941	-1.358396	56303.38	14.23752	0.994648	0.998627	1.00136	1.00536	2.820544
640	0	-458.613	-462.1983	3.585344	74286.28	15.72396	0.99534	0.998805	1.00119	1.00467	2.47953
641	1	-468.4781	-466.6872	-1.790947	48074.9	18.69475	0.994209	0.998513	1.00147	1.0058	2.720845
642	0	-450.6437	-455.748	5.10429	8669.902	14.29564	0.986382	0.99648	1.00345	1.01368	2.367874
643	1	-482.3386	-469.9886	-12.35006	66794.41	10.98567	0.995086	0.99874	1.00125	1.00492	3.747495
644	0	-448.5157	-450.9127	2.396959	91803.78	16.20695	0.995808	0.998925	1.00107	1.0042	2.549539
645	1	-465.5456	-460.051	-5.494611	41874.51	12.59869	0.993795	0.998407	1.00158	1.00622	3.143798
646	0	-446.9787	-453.3299	6.351213	51465.51	20.98377	0.994403	0.998563	1.00143	1.00561	2.239889
647	1	-468.486	-465.8821	-2.603934	61094.27	11.26995	0.994862	0.998682	1.00131	1.00515	2.876076
648	0	-453.9292	-455.0913	1.162148	79394.18	12.43991	0.995492	0.998844	1.00115	1.00451	2.609563
649	1	-459.6405	-452.7594	-6.881083	73473.22	8.744644	0.995314	0.998798	1.00119	1.00469	3.064025
650	0	-457.461	-450.6734	-6.787554	34215.94	10.92822	0.993137	0.998236	1.00175	1.00688	3.239572
651	1	-452.2158	-448.747	-3.468788	90418.45	16.52667	0.995776	0.998917	1.00108	1.00423	2.899737
652	0	-471.7726	-455.1232	-16.64947	67428.2	9.074778	0.995109	0.998745	1.00125	1.0049	4.189141
653	1	-457.8357	-450.6098	-7.225957	96761.1	13.37146	0.995917	0.998953	1.00104	1.00409	3.262564
654	0	-465.9715	-455.7168	-10.25469	21083.27	12.24633	0.991259	0.997751	1.00222	1.00877	3.533733
655	1	-458.3513	-457.5234	-0.8279673	1608.107	16.7063	0.968483	0.991727	1.00792	1.03187	2.734866
656	0	-455.2537	-450.2597	-4.993989	85175.96	11.45923	0.995648	0.998884	1.00111	1.00436	3.093429
657	1	-455.2654	-449.2486	-6.016762	21036.56	10.2745	0.99125	0.997748	1.00222	1.00878	3.137251
658	0	-460.9652	-455.5229	-5.442253	30511.61	11.2798	0.992732	0.998132	1.00185	1.00729	3.128194
659	1	-468.7823	-462.4791	-6.303166	2688.317	12.74605	0.975592	0.993632	1.00615	1.02462	3.205981
660	0	-466.8406	-464.7662	-2.074453	27379.83	13.99459	0.992329	0.998027	1.00195	1.00769	2.873725
661	1	-453.5151	-452.5458	-0.9692897	72236.73	15.14236	0.995275	0.998788	1.0012	1.00473	2.781186
662	0	-471.8367	-463.1196	-8.717086	56819.97	15.13092	0.994673	0.998633	1.00136	1.00534	3.293442
663	1	-468.4845	-458.5372	-9.947354	58140.35	9.258345	0.994733	0.998649	1.00134	1.00528	3.466902
664	0	-459.0002	-454.489	-4.5112	84680.27	12.48463	0.995635	0.998881	1.00111	1.00437	3.06571
665	1	-458.9406	-449.3496	-9.590989	92210.69	12.82284	0.995817	0.998928	1.00107	1.00419	3.461193
666	0	-459.4521	-456.8672	-2.584939	61680.58	14.09088	0.994887	0.998688	1.0013	1.00512	2.9089
667	1	-452.7974	-451.7689	-1.028541	18949.27	16.46344	0.990781	0.997626	1.00234	1.00925	2.753874
668	0	-457.5477	-454.4025	-3.145157	47995.9	17.48511	0.994204	0.998512	1.00148	1.00581	2.843507
669	1	-469.7755	-461.8884	-7.8871	41535.1	9.10116	0.99377	0.9984	1.00159	1.00624	3.226721
670	0	-443.8451	-443.7006	-0.144507	61666.21	14.81559	0.994886	0.998688	1.0013	1.00512	2.730895
671	1	-453.9889	-451.7197	-2.269227	28651.97	11.12915	0.992501	0.998072	1.00191	1.00752	2.838603
672	0	-451.2048	-451.1373	-0.06747034	65429.81	15.76264	0.995035	0.998726	1.00126	1.00497	2.711084
673	1	-455.4788	-455.6144	0.1355848	72542.04	15.52846	0.995285	0.998791	1.0012	1.00472	2.702389
674	0	-462.6976	-454.8761	-7.821512	83882.06	12.35158	0.995615	0.998876	1.00112	1.00439	3.33333
675	1	-467.1663	-460.6836	-6.482722	56129.89	10.62509	0.99464	0.998625	1.00137	1.00537	3.200463
676	0	-458.9743	-448.9433	-10.03102	62843.08	9.980132	0.994934	0.9987	1.00129	1.00508	3.51849
677	1	-464.363	-464.8309	0.4679323	79050.96	13.15686	0.995483	0.998842	1.00115	1.00452	2.683842
678	0	-453.2365	-452.6412	-0.5953762	36077.22	13.49316	0.993316	0.998283	1.0017	1.0067	2.767461
679	1	-453.242	-458.7829	5.540936	85376.07	13.32316	0.995653	0.998886	1.00111	1.00435	2.305733
680	0	-462.0089	-454.3636	-7.645321	68690.65	13.96125	0.995154	0.998757	1.00123	1.00485	3.273083
681	1	-457.2318	-454.6948	-2.537024	44903.68	9.870997	0.994008	0.998462	1.00153	1.006	2.754739
682	0	-461.6471	-453.5815	-8.065597	83697.99	12.81837	0.99561	0.998874	1.00112	1.0044	3.342354
683	1	-470.1049	-461.2222	-8.88265	8647.817	9.136474	0.986365	0.996476	1.00346	1.0137	3.339819
684	0	-464.439	-456.1371	-8.30192	55605.1	11.79507	0.994615	0.998618	1.00137	1.0054	3.380515
685	1	-466.7161	-461.7578	-4.958299	41819.12	11.59877	0.993791	0.998406	1.00158	1.00622	3.093515
686	0	-467.6662	-454.8608	-12.80548	97658.63	12.42101	0.995935	0.998958	1.00104	1.00407	3.733335
687	1	-451.6925	-452.9839	1.291456	62857.09	17.08159	0.994935	0.9987	1.00129	1.00507	2.599631
688	0	-464.8231	-463.2732	-1.549946	52666.55	17.1141	0.994467	0.99858	1.00141	1.00554	2.764895
689	1	-451.1942	-455.7791	4.584906	56705.16	18.81248	0.994667	0.998632	1.00136	1.00534	2.377331
690	0	-465.6499	-462.1242	-3.525666	69530	13.70348	0.995184	0.998765	1.00123	1.00482	2.982029
691	1	-462.4676	-456.1682	-6.299327	29705.5	13.61965	0.992635	0.998107	1.00187	1.00738	3.186793
692	0	-464.1275	-457.1948	-6.932716	83718.01	11.06473	0.99561	0.998875	1.00112	1.0044	3.256256
693	1	-461.5587	-457.8126	-3.746102	66283.8	12.72765	0.995067	0.998735	1.00126	1.00494	3.005345
694	0	-459.5959	-457.6553	-1.940604	63599.97	15.40789	0.994964	0.998708	1.00128	1.00504	2.839107
695	1	-454.2604	-451.0698	-3.19067	28272.5	15.31219	0.992451	0.998059	1.00192	1.00757	2.923057
696	0	-464.7589	-457.3695	-7.389457	11906.49	13.69467	0.988375	0.997001	1.00295	1.01167	3.264289
697	1	-457.5079	-459.4753	1.967409	4482.749	18.52062	0.981079	0.995087	1.00479	1.01905	2.524662
698	0	-461.8701	-459.9258	-1.944262	28502.4	11.64245	0.992481	0.998067	1.00191	1.00754	2.835511
699	1	-461.3717	-457.2229	-4.148802	27341.57	8.3609	0.992323	0.998026	1.00195	1.0077	2.666984
700	0	-454.9517	-451.0045	-3.947142	77797.26	16.93034	0.995446	0.998832	1.00116	1.00456	2.912524
701	1	-456.8494	-459.4985	2.649065	3739.702	17.24296	0.979291	0.994615	1.00523	1.02086	2.517054
702	0	-454.9295	-456.024	1.094493	78868.19	12.08002	0.995477	0.99884	1.00115	1.00453	2.599228
703	1	-463.493	-463.7311	0.2380744	54569.87	11.08301	0.994564	0.998605	1.00138	1.00545	2.609655
704	0	-446.1505	-450.813	4.662555	56326.11	17.0232	0.994649	0.998627	1.00136	1.00536	2.402957
705	1	-467.8832	-467.5512	-0.331952	66330.12	12.8725	0.995069	0.998735	1.00126	1.00494	2.740092
706	0	-455.6879	-454.4469	-1.240998	79124.88	14.75992	0.995485	0.998842	1.00115	1.00452	2.805781
707	1	-449.4588	-448.2452	-1.213634	43627.28	11.56121	0.993921	0.998439	1.00155	1.00609	2.768813
708	0	-455.3499	-450.7439	-4.606005	24902.54	11.40328	0.991957	0.997931	1.00205	1.00807	3.057967
709	1	-446.4855	-447.8006	1.315144	64434.71	16.37085	0.994997	0.998717	1.00127	1.00501	2.613294
710	0	-461.1146	-452.451	-8.663646	56907.96	14.27017	0.994677	0.998634	1.00136	1.00533	3.332139
711	1	-453.232	-450.7777	-2.454241	33762.53	10.47943	0.993091	0.998225	1.00176	1.00693	2.809304
712	0	-474.3988	-463.4183	-10.98049	40153.84	15.1322	0.993664	0.998373	1.00161	1.00635	3.442951
713	1	-454.2929	-450.3053	-3.987604	71679.4	13.26987	0.995256	0.998783	1.00121	1.00475	3.021471
714	0	-455.2426	-447.6165	-7.626019	65761.81	10.2494	0.995048	0.99873	1.00126	1.00496	3.292649
715	1	-462.4807	-455.4383	-7.042368	27801.8	14.43234	0.992387	0.998043	1.00194	1.00763	3.212216
716	0	-457.3751	-452.0136	-5.361492	24801.31	13.48576	0.99194	0.997927	1.00205	1.00808	3.12084
717	1	-450.6738	-448.0196	-2.654194	15068.24	13.88093	0.989664	0.997336	1.00263	1.01037	2.916571
718	0	-456.3211	-451.5024	-4.818727	20113.06	12.38912	0.991051	0.997697	1.00228	1.00898	3.090294
719	1	-464.7383	-460.4986	-4.23969	2363.546	13.47804	0.973977	0.993202	1.00656	1.02627	3.037769
720	0	-459.2983	-457.755	-1.543297	68478.7	13.17038	0.995147	0.998755	1.00124	1.00486	2.836787
721	1	-456.9966	-458.6405	1.643878	31393.03	13.88386	0.992835	0.998159	1.00182	1.00718	2.606963
722	0	-445.3328	-454.327	8.994227	83236.7	16.68579	0.995598	0.998871	1.00112	1.00441	2.146798
723	1	-463.3919	-458.5251	-4.866852	84003.84	12.72542	0.995618	0.998876	1.00112	1.00439	3.093414
724	0	-464.8124	-459.8617	-4.9507	93074.91	12.21585	0.995837	0.998933	1.00106	1.00417	3.100496
725	1	-459.2464	-457.1782	-2.068112	60064.38	12.03646	0.994818	0.998671	1.00132	1.00519	2.859805
726	0	-450.7501	-448.7841	-1.966046	65643.98	14.09759	0.995043	0.998728	1.00126	1.00497	2.864904
727	1	-464.5122	-458.9733	-5.538902	75091.04	11.89977	0.995365	0.998811	1.00118	1.00464	3.14727
728	0	-448.4065	-451.1629	2.756351	23625.2	14.59928	0.991742	0.997876	1.0021	1.00828	2.534318
729	1	-479.9795	-467.5025	-12.47709	2617.757	11.14337	0.975267	0.993546	1.00624	1.02495	3.755471
730	0	-463.4004	-455.4681	-7.932325	63028.96	18.12305	0.994941	0.998702	1.00129	1.00507	3.081591
731	1	-484.6877	-471.7239	-12.96374	86578.9	10.49305	0.995683	0.998893	1.0011	1.00432	3.81204
732	0	-459.5465	-458.4532	-1.093335	55804.2	13.37045	0.994624	0.998621	1.00137	1.00539	2.803924
733	1	-457.698	-452.0437	-5.654335	6271.938	11.97122	0.983996	0.995855	1.00405	1.0161	3.157437
734	0	-458.1365	-453.1164	-5.020067	37784.9	14.8765	0.993468	0.998322	1.00166	1.00655	3.057938
735	1	-458.1638	-449.4522	-8.711577	33584.06	14.49851	0.993072	0.99822	1.00176	1.00694	3.324708
