Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-473.3663	-468.6135	-4.752797	35305.29	15.32827	0.993243	0.998264	1.00172	1.00677	3.0245
10	-473.1193	-468.9978	-4.121513	66937.85	13.34102	0.995091	0.998741	1.00125	1.00492	3.030761
20	-472.9717	-463.8635	-9.108188	41303.51	12.10938	0.993752	0.998396	1.00159	1.00626	3.443204
30	-469.1143	-466.6288	-2.485527	66246.51	15.47188	0.995066	0.998734	1.00126	1.00494	2.872741
40	-465.8004	-460.4868	-5.313516	93262.89	9.456045	0.995841	0.998934	1.00106	1.00417	2.99181
50	-471.0249	-468.7892	-2.235624	32731.25	16.06495	0.992983	0.998197	1.00179	1.00703	2.839749
60	-468.8272	-464.5598	-4.267451	53564.61	12.49506	0.994513	0.998592	1.0014	1.0055	3.046217
70	-464.4348	-464.1558	-0.2790168	42331.82	11.28304	0.993829	0.998415	1.00157	1.00618	2.670672
80	-464.1412	-462.7127	-1.428481	11217.98	17.34681	0.988024	0.996909	1.00304	1.01203	2.75004
90	-473.2239	-465.4174	-7.806526	2805.695	9.28385	0.976106	0.993769	1.00603	1.0241	3.238381
100	-477.4224	-468.3876	-9.0348	24629.19	14.64919	0.991912	0.99792	1.00206	1.00811	3.339455
110	-468.7425	-463.1811	-5.561419	41998.98	17.07175	0.993804	0.998409	1.00158	1.00621	3.001277
120	-459.5056	-456.7468	-2.758823	76297.77	15.04195	0.995402	0.998821	1.00117	1.00461	2.901921
130	-473.6888	-460.8794	-12.80942	95062.84	10.90727	0.99588	0.998944	1.00105	1.00413	3.791061
140	-470.7991	-460.2239	-10.57522	19120.68	12.99788	0.990823	0.997637	1.00233	1.00921	3.530378
150	-470.9498	-456.8015	-14.14825	44531.17	11.79585	0.993983	0.998455	1.00153	1.00603	3.876134
160	-464.6658	-455.8406	-8.825222	6589.447	12.44799	0.984385	0.995957	1.00396	1.0157	3.412206
170	-456.7703	-453.4518	-3.318479	48399.65	12.93365	0.994228	0.998518	1.00147	1.00578	2.972126
180	-454.9806	-455.9975	1.016909	15384.3	14.38515	0.989771	0.997364	1.0026	1.01027	2.653825
190	-459.6408	-451.4567	-8.184016	58465.47	17.99371	0.994748	0.998652	1.00134	1.00526	3.102848
200	-453.6367	-445.6701	-7.966604	49598.42	11.55441	0.994298	0.998536	1.00145	1.00571	3.352922
210	-467.8973	-461.9784	-5.918887	64577.09	12.32023	0.995002	0.998718	1.00127	1.00501	3.179433
220	-464.6254	-457.585	-7.040307	16861.7	13.19758	0.990228	0.997483	1.00248	1.00981	3.253454
230	-464.5824	-458.211	-6.371452	48220.32	12.94785	0.994217	0.998516	1.00147	1.00579	3.207912
240	-458.3198	-451.3876	-6.932271	62854.57	12.23914	0.994934	0.9987	1.00129	1.00507	3.2625
250	-461.4703	-458.9237	-2.546546	76641.38	12.6628	0.995412	0.998824	1.00117	1.0046	2.91049
260	-459.8098	-454.9323	-4.87753	62545.8	12.4794	0.994922	0.998697	1.00129	1.00509	3.095057
270	-453.3486	-450.2985	-3.050107	73027.52	15.18627	0.9953	0.998795	1.0012	1.00471	2.917403
280	-452.8794	-452.758	-0.1214345	42362.71	12.07777	0.993831	0.998416	1.00157	1.00618	2.699792
290	-468.0253	-464.186	-3.83931	63311.82	13.01681	0.994953	0.998705	1.00129	1.00506	3.01206
300	-454.8277	-452.5475	-2.280257	55644.06	11.81991	0.994617	0.998619	1.00137	1.00539	2.870837
310	-454.579	-459.0744	4.495422	73059.88	17.36435	0.995301	0.998795	1.0012	1.00471	2.408294
320	-464.9793	-459.2218	-5.757495	23112.94	11.2484	0.991651	0.997852	1.00212	1.00837	3.15535
330	-455.366	-458.2295	2.863468	75407.25	20.08978	0.995375	0.998814	1.00118	1.00463	2.433217
340	-462.649	-455.0483	-7.600663	21133.54	13.96545	0.99127	0.997753	1.00222	1.00876	3.269724
350	-451.9759	-453.6996	1.723685	51447.21	17.28859	0.994402	0.998563	1.00143	1.00561	2.569676
360	-453.088	-448.1115	-4.976403	78787.91	13.69513	0.995475	0.99884	1.00115	1.00453	3.088075
370	-465.4139	-458.1888	-7.225156	90764.26	12.21951	0.995784	0.998919	1.00107	1.00422	3.286646
380	-453.6601	-451.2799	-2.380155	62973.52	19.0981	0.994939	0.998702	1.00129	1.00507	2.735834
390	-448.134	-450.9	2.765998	58020.21	15.48038	0.994728	0.998647	1.00134	1.00528	2.533271
400	-469.4183	-459.3261	-10.09219	36099.78	9.979051	0.993318	0.998283	1.0017	1.0067	3.524578
410	-463.857	-454.5679	-9.289006	824.5273	8.977884	0.956086	0.988349	1.01096	1.04461	3.367644
420	-466.9465	-459.3995	-7.546999	29826.25	11.88927	0.99265	0.998111	1.00187	1.00737	3.316082
430	-460.1356	-456.1979	-3.937658	47036.41	8.95082	0.994145	0.998497	1.00149	1.00587	2.766741
440	-456.394	-448.6274	-7.766556	23514.17	11.78484	0.991723	0.997871	1.00211	1.0083	3.335176
450	-464.168	-454.8409	-9.327111	31558.05	10.56057	0.992854	0.998163	1.00182	1.00716	3.466931
460	-462.492	-459.0483	-3.443718	93045.2	15.97918	0.995836	0.998933	1.00106	1.00417	2.917934
470	-460.0007	-459.7711	-0.2295729	73538.2	11.55657	0.995317	0.998799	1.00119	1.00469	2.683429
480	-464.5434	-459.0666	-5.476798	9887.969	10.6001	0.987246	0.996706	1.00324	1.01281	3.104474
490	-465.2457	-459.5913	-5.65439	97277.87	13.52235	0.995928	0.998956	1.00104	1.00408	3.14173
500	-456.1216	-456.8261	0.7044881	43369.11	14.09341	0.993903	0.998434	1.00155	1.00611	2.675462
510	-456.5493	-460.9023	4.352957	31008.92	12.56442	0.992791	0.998147	1.00183	1.00723	2.360264
520	-463.1906	-452.0024	-11.18819	26718.02	9.042732	0.992234	0.998003	1.00198	1.00779	3.584715
530	-457.2472	-455.8789	-1.368282	17355.14	12.1047	0.990368	0.997519	1.00245	1.00967	2.80389
540	-458.8318	-457.8645	-0.9673059	25343.43	10.75486	0.992027	0.997949	1.00203	1.008	2.692881
550	-459.3955	-459.0937	-0.3017628	73644.47	13.27124	0.99532	0.9988	1.00119	1.00469	2.743726
560	-457.1763	-453.0967	-4.079622	88887.33	12.66675	0.99574	0.998908	1.00109	1.00427	3.031561
570	-454.5127	-449.6367	-4.875938	38192.87	13.67793	0.993503	0.998331	1.00165	1.00651	3.081098
580	-445.0431	-452.2537	7.21063	34668.74	14.72776	0.993182	0.998248	1.00174	1.00683	2.232415
590	-455.5692	-460.0822	4.512919	82947.23	16.06217	0.99559	0.998869	1.00112	1.00442	2.419682
600	-456.3494	-456.3316	-0.01779129	49985.58	14.47645	0.99432	0.998542	1.00145	1.00569	2.72522
610	-461.3443	-457.937	-3.407359	56616.62	14.73571	0.994663	0.99863	1.00136	1.00535	2.953166
620	-447.6929	-453.1218	5.428973	4543.523	14.13408	0.981206	0.995121	1.00475	1.01892	2.341285
630	-465.4638	-461.7472	-3.716563	34373.1	17.10384	0.993152	0.998241	1.00174	1.00686	2.89191
640	-463.2766	-457.8732	-5.403391	69617.88	12.86285	0.995187	0.998765	1.00123	1.00482	3.134177
650	-460.5464	-458.0115	-2.534888	60991.88	12.07927	0.994858	0.998681	1.00131	1.00515	2.899655
660	-463.5203	-456.9045	-6.61573	88932.3	10.2725	0.995741	0.998908	1.00109	1.00427	3.195432
670	-468.2941	-459.0385	-9.2556	9355.93	10.98309	0.986889	0.996613	1.00333	1.01317	3.465798
680	-470.345	-457.0199	-13.32513	92805.52	11.88489	0.995831	0.998931	1.00106	1.00418	3.80228
690	-467.2134	-463.0425	-4.170852	47399.58	14.21791	0.994168	0.998503	1.00149	1.00584	3.018547
700	-462.5849	-459.7185	-2.866317	12904.5	14.87441	0.988833	0.99712	1.00284	1.01121	2.913213
710	-459.3649	-452.3628	-7.002119	19391.47	14.9068	0.990887	0.997654	1.00232	1.00914	3.189875
720	-458.9341	-454.814	-4.120154	97590.85	14.65259	0.995934	0.998958	1.00104	1.00407	3.003871
730	-472.2306	-462.3813	-9.84931	55116.88	9.909767	0.994591	0.998612	1.00138	1.00542	3.497284
740	-457.5271	-455.5177	-2.009374	42256.98	12.82417	0.993823	0.998414	1.00157	1.00619	2.869948
750	-463.0842	-456.8668	-6.217451	80275.2	13.08967	0.995517	0.998851	1.00114	1.00449	3.193345
760	-466.0637	-458.8042	-7.259495	59524.82	11.30442	0.994795	0.998664	1.00133	1.00521	3.289608
770	-460.0513	-460.2002	0.1488101	70147.7	17.5211	0.995205	0.99877	1.00122	1.0048	2.654067
780	-475.728	-467.1735	-8.554503	19662.97	11.84003	0.99095	0.99767	1.0023	1.00908	3.401426
