Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
790	-461.7759	-456.2864	-5.48948	23008.42	9.85429	0.991633	0.997847	1.00213	1.00839	3.052311
800	-461.6528	-451.3686	-10.2842	3750.472	11.67396	0.979321	0.994623	1.00522	1.02083	3.551216
810	-468.8028	-460.2489	-8.553938	69570.44	8.385011	0.995185	0.998765	1.00123	1.00482	3.198179
820	-462.987	-457.9442	-5.04285	36191	16.75451	0.993326	0.998286	1.0017	1.00669	2.985039
830	-469.5314	-463.3976	-6.133766	89292.23	11.55889	0.995749	0.99891	1.00108	1.00426	3.194355
840	-460.5432	-453.0774	-7.465789	6624.945	11.95985	0.984427	0.995968	1.00395	1.01566	3.308832
850	-458.1397	-459.5648	1.425057	72023.44	12.82408	0.995268	0.998786	1.00121	1.00474	2.602135
860	-469.2336	-466.0519	-3.181699	8142.616	13.12488	0.985949	0.996367	1.00356	1.01412	2.961336
870	-473.6153	-465.5343	-8.081029	99590.75	13.35322	0.995975	0.998968	1.00103	1.00403	3.327138
880	-460.6548	-452.8053	-7.849527	89079.34	9.439978	0.995744	0.998909	1.00108	1.00426	3.258502
890	-466.3947	-457.4833	-8.911435	769.5371	13.75001	0.954558	0.987928	1.01133	1.04619	3.37306
900	-456.9351	-454.9297	-2.005465	152.2206	10.53499	0.898936	0.971841	1.02441	1.10482	2.771413
910	-441.4531	-445.1231	3.66997	16310.31	17.02379	0.990065	0.99744	1.00252	1.00997	2.461256
920	-455.2288	-459.6691	4.440297	99508.52	15.55074	0.995973	0.998968	1.00103	1.00403	2.425193
930	-469.1808	-464.1681	-5.012728	96617.33	13.20422	0.995914	0.998953	1.00104	1.00409	3.099724
940	-458.4844	-457.562	-0.9224754	8068.75	12.72938	0.985885	0.99635	1.00358	1.01419	2.783527
950	-471.4119	-472.8083	1.396319	45151.52	13.50568	0.994024	0.998466	1.00152	1.00599	2.620055
960	-458.9325	-453.3577	-5.574737	92313.88	14.94092	0.99582	0.998928	1.00107	1.00419	3.092873
970	-456.4473	-458.4491	2.001789	32125.49	14.4189	0.992917	0.99818	1.0018	1.0071	2.585504
980	-456.3863	-455.2576	-1.128779	74752.01	13.6417	0.995355	0.998809	1.00118	1.00465	2.807156
990	-461.2391	-462.7191	1.479947	74191.18	14.73078	0.995337	0.998804	1.00119	1.00467	2.621515
1000	-453.125	-455.0206	1.895614	97252.38	16.06471	0.995927	0.998956	1.00104	1.00408	2.582594
1010	-463.5958	-466.929	3.33323	39661.27	14.2288	0.993625	0.998363	1.00162	1.00639	2.490903
1020	-450.2393	-448.4744	-1.764808	80257.59	16.77796	0.995517	0.99885	1.00114	1.00449	2.788628
1030	-459.5961	-459.2236	-0.3724992	35509.31	12.38491	0.993263	0.998269	1.00171	1.00675	2.731284
1040	-475.2247	-466.6028	-8.621911	7796.484	8.569322	0.985641	0.996287	1.00364	1.01443	3.237052
1050	-459.8836	-453.1185	-6.765093	15298.13	11.73266	0.989742	0.997356	1.00261	1.0103	3.250035
1060	-464.9724	-459.3825	-5.589973	78467.97	9.171994	0.995466	0.998837	1.00116	1.00454	2.984463
1070	-458.3497	-453.4394	-4.910311	82900.13	15.85265	0.995589	0.998869	1.00112	1.00442	3.014773
1080	-465.4889	-457.8517	-7.637206	29460.54	10.47453	0.992604	0.998099	1.00188	1.00742	3.303696
1090	-459.5515	-458.2276	-1.323846	68495.77	12.8921	0.995147	0.998755	1.00124	1.00486	2.817399
1100	-450.8171	-456.4695	5.652438	91201.66	19.82545	0.995794	0.998922	1.00107	1.00421	2.300258
1110	-459.0704	-454.5077	-4.562698	35391.18	12.15961	0.993251	0.998266	1.00172	1.00676	3.068293
1120	-453.4901	-450.4452	-3.04492	30450.3	12.53002	0.992725	0.99813	1.00185	1.00729	2.948734
1130	-457.3763	-460.5161	3.139805	18095.77	18.89674	0.990567	0.997571	1.0024	1.00946	2.452009
1140	-451.7585	-456.9419	5.183338	43995.9	14.23038	0.993946	0.998446	1.00154	1.00607	2.360913
1150	-444.4774	-451.0538	6.576402	71882.5	15.57522	0.995263	0.998785	1.00121	1.00474	2.28806
1160	-462.5419	-458.3814	-4.160481	83418.62	12.76522	0.995602	0.998872	1.00112	1.0044	3.037839
1170	-456.2256	-457.159	0.9333865	94315.76	13.47431	0.995864	0.99894	1.00105	1.00414	2.653901
1180	-455.0407	-456.4461	1.405426	14888.8	14.08683	0.989602	0.99732	1.00264	1.01044	2.625688
1190	-460.7838	-457.1361	-3.647676	82516	14.74828	0.995578	0.998866	1.00113	1.00443	2.969144
1200	-460.2217	-459.0329	-1.188749	2431.285	18.06658	0.97434	0.993299	1.00647	1.0259	2.711504
1210	-450.7527	-447.4622	-3.290573	70291.1	9.153978	0.99521	0.998771	1.00122	1.0048	2.730732
1220	-456.2218	-457.0066	0.7847711	51002.85	17.09192	0.994377	0.998557	1.00143	1.00563	2.629034
1230	-461.4762	-460.7331	-0.7430623	93654.3	22.9865	0.99585	0.998936	1.00106	1.00416	2.498532
1240	-450.688	-450.2917	-0.3963179	62896.07	12.13337	0.994936	0.998701	1.00129	1.00507	2.724679
1250	-454.8381	-452.1987	-2.639381	93504.09	17.6138	0.995846	0.998935	1.00106	1.00416	2.809625
1260	-453.88	-451.2448	-2.635215	7170.966	12.55933	0.98503	0.996126	1.00379	1.01505	2.916391
1270	-461.8187	-459.9626	-1.856083	83759.37	14.90284	0.995611	0.998875	1.00112	1.0044	2.844739
1280	-457.7659	-455.8623	-1.90362	15843.73	14.36145	0.98992	0.997403	1.00256	1.01012	2.857186
1290	-471.4856	-464.4491	-7.036526	67500.19	9.36243	0.995112	0.998746	1.00125	1.0049	3.164189
1300	-466.6856	-462.7958	-3.889833	96732.44	12.07146	0.995916	0.998953	1.00104	1.00409	3.011707
1310	-466.3575	-461.9521	-4.405345	27575.7	23.20944	0.992356	0.998035	1.00194	1.00766	2.647454
1320	-464.7633	-459.9149	-4.848442	38107.21	13.16268	0.993496	0.998329	1.00166	1.00652	3.087842
1330	-452.3554	-448.5178	-3.837589	13957.5	10.8177	0.989261	0.997231	1.00273	1.01078	2.963489
1340	-454.6352	-453.1686	-1.466574	1420.076	11.64278	0.966473	0.991184	1.00841	1.03393	2.794497
1350	-463.799	-455.9919	-7.807061	34182	8.568136	0.993133	0.998236	1.00175	1.00688	3.141763
1360	-457.3546	-454.369	-2.985642	60840.37	13.86005	0.994851	0.998679	1.00131	1.00516	2.940727
1370	-464.6489	-459.9799	-4.669067	51505.79	13.73828	0.994405	0.998564	1.00142	1.00561	3.064765
1380	-453.9385	-460.0744	6.135865	20782.01	15.00445	0.991196	0.997734	1.00224	1.00883	2.31005
1390	-451.4568	-456.4822	5.025305	7425.155	17.59328	0.985287	0.996194	1.00373	1.01479	2.374759
1400	-450.385	-453.6988	3.31389	39675.43	15.63891	0.993626	0.998363	1.00162	1.00639	2.497241
1410	-449.0809	-453.0145	3.933605	57294.51	13.82012	0.994695	0.998639	1.00135	1.00532	2.440577
1420	-464.2848	-456.6735	-7.611323	51241.63	9.673316	0.99439	0.99856	1.00143	1.00562	3.253945
1430	-461.3068	-454.4585	-6.848278	81106.74	11.24784	0.99554	0.998856	1.00114	1.00447	3.252312
1440	-463.9952	-458.7809	-5.21429	94595.89	18.14538	0.99587	0.998941	1.00105	1.00414	2.930543
1450	-459.1807	-458.5411	-0.6395411	84896.55	12.55631	0.995641	0.998882	1.00111	1.00437	2.757418
1460	-458.8356	-452.1356	-6.7	59210.63	12.25286	0.994781	0.998661	1.00133	1.00523	3.243416
1470	-452.2808	-456.2628	3.981993	85553.62	13.82212	0.995658	0.998887	1.00111	1.00435	2.437124
1480	-470.356	-465.6344	-4.72167	61800.68	13.66666	0.994892	0.998689	1.0013	1.00512	3.070042
1490	-458.9845	-452.8369	-6.147557	60652.21	11.52388	0.994843	0.998677	1.00131	1.00517	3.195071
1500	-454.5969	-454.1646	-0.4323365	46016.72	18.74519	0.994081	0.99848	1.00151	1.00593	2.6464
1510	-461.9681	-459.2668	-2.701298	41781.83	13.03438	0.993788	0.998405	1.00158	1.00623	2.924665
1520	-444.5206	-450.423	5.902352	27692.96	19.68824	0.992372	0.998039	1.00194	1.00765	2.290527
1530	-452.6981	-452.2777	-0.4203761	41316.75	13.21266	0.993753	0.998396	1.00159	1.00626	2.752027
1540	-464.3491	-458.6688	-5.680355	14804.04	13.65595	0.989572	0.997312	1.00265	1.01047	3.140456
1550	-466.1337	-461.2266	-4.907121	53475.12	13.21551	0.994509	0.998591	1.0014	1.0055	3.091565
1560	-461.991	-451.8456	-10.14546	9505.028	17.68336	0.986992	0.99664	1.0033	1.01307	3.231396
1570	-450.7396	-452.8088	2.069209	16890.4	17.11862	0.990236	0.997485	1.00248	1.0098	2.553329
1580	-455.3706	-454.2714	-1.099257	11530.71	13.4883	0.988188	0.996952	1.003	1.01186	2.804792
1590	-458.5588	-456.6765	-1.882263	11772.23	12.64226	0.988309	0.996983	1.00297	1.01174	2.857734
1600	-463.2002	-457.4557	-5.744515	81029.81	10.60005	0.995538	0.998856	1.00114	1.00447	3.129728
1610	-461.2022	-457.4807	-3.721555	26351.62	17.75922	0.992181	0.997989	1.00199	1.00784	2.864899
1620	-458.3876	-452.6187	-5.768899	6024.674	12.68439	0.983672	0.99577	1.00414	1.01642	3.164743
1630	-460.2601	-461.3666	1.106463	46169.47	13.26644	0.994091	0.998483	1.0015	1.00592	2.637523
1640	-461.8316	-457.8501	-3.981572	41740.41	16.1562	0.993785	0.998404	1.00158	1.00623	2.945021
1650	-462.2302	-452.7654	-9.464854	15504.28	13.27003	0.98981	0.997374	1.00259	1.01023	3.434223
1660	-463.9124	-455.7465	-8.165959	8785.007	13.53007	0.986471	0.996504	1.00343	1.01359	3.327182
1670	-448.8161	-445.2027	-3.613382	46203.11	12.63978	0.994093	0.998483	1.0015	1.00592	2.994656
1680	-460.3068	-457.3175	-2.989306	48239.73	13.21478	0.994219	0.998516	1.00147	1.00579	2.946449
1690	-469.0115	-462.7334	-6.278184	68014.39	13.4669	0.99513	0.998751	1.00124	1.00488	3.1893
1700	-464.5916	-462.5346	-2.057007	88297.49	11.98389	0.995726	0.998904	1.00109	1.00428	2.857326
1710	-453.1387	-450.4737	-2.665041	21892.25	12.42473	0.991422	0.997793	1.00218	1.0086	2.916997
1720	-457.3863	-453.9183	-3.468013	28161.72	12.14793	0.992436	0.998055	1.00192	1.00758	2.978079
1730	-461.3107	-457.7321	-3.578515	58043.9	12.1889	0.994729	0.998648	1.00134	1.00528	2.987788
1740	-444.5898	-444.9625	0.3726066	12775.43	12.01904	0.988777	0.997105	1.00285	1.01127	2.656228
1750	-459.3261	-449.5169	-9.809222	50580.53	9.038792	0.994354	0.998551	1.00144	1.00566	3.431827
1760	-455.7709	-455.5584	-0.2124577	38322.96	14.79846	0.993514	0.998334	1.00165	1.0065	2.735675
1770	-455.6343	-451.0146	-4.619702	41578.54	12.90687	0.993773	0.998401	1.00159	1.00624	3.07294
1780	-454.9709	-450.5808	-4.390043	87308.18	16.95153	0.995701	0.998898	1.0011	1.00431	2.937786
1790	-458.1528	-458.187	0.03425319	12877.95	10.34874	0.988821	0.997117	1.00284	1.01122	2.557124
1800	-450.3469	-453.0056	2.658681	40208.61	16.15411	0.993668	0.998374	1.00161	1.00635	2.534043
1810	-456.6714	-456.4433	-0.2280895	46407.98	10.87498	0.994106	0.998487	1.0015	1.00591	2.634829
1820	-460.8464	-457.2274	-3.619073	19211.68	12.41395	0.990844	0.997643	1.00233	1.00919	2.993688
1830	-460.4469	-454.7027	-5.744248	60703.19	14.33994	0.994846	0.998678	1.00131	1.00516	3.125314
1840	-463.1755	-457.7164	-5.459059	10976.04	13.18105	0.987893	0.996875	1.00307	1.01216	3.133923
1850	-459.6354	-453.2666	-6.368731	15381.84	14.01165	0.98977	0.997364	1.0026	1.01027	3.180026
1860	-458.3375	-456.6526	-1.684863	63678.31	10.36459	0.994967	0.998709	1.00128	1.00504	2.724826
1870	-455.5124	-455.2615	-0.2508963	40070.12	12.7139	0.993657	0.998371	1.00161	1.00636	2.730414
1880	-465.285	-463.3877	-1.897294	60711.87	16.03878	0.994846	0.998678	1.00131	1.00516	2.819447
1890	-455.9343	-448.5495	-7.38475	47274.56	15.04089	0.99416	0.998501	1.00149	1.00585	3.209504
1900	-455.2807	-450.073	-5.207683	87251.05	17.25185	0.9957	0.998898	1.0011	1.00431	2.972294
1910	-453.3817	-445.9758	-7.405879	51222.22	13.82282	0.994389	0.99856	1.00143	1.00562	3.260986
1920	-465.5889	-460.0496	-5.539307	17394.81	11.01795	0.990379	0.997522	1.00245	1.00965	3.128697
1930	-472.2092	-461.7429	-10.46628	82043.81	15.54189	0.995566	0.998863	1.00113	1.00444	3.384309
1940	-475.6302	-465.4044	-10.2258	23315.27	10.13993	0.991688	0.997862	1.00211	1.00834	3.543327
1950	-459.3763	-455.2485	-4.127753	25453.82	14.49765	0.992044	0.997954	1.00202	1.00798	3.008572
1960	-452.704	-447.5954	-5.108544	81691.34	12.42934	0.995556	0.998861	1.00113	1.00445	3.113656
1970	-459.9927	-451.2058	-8.786929	16501.4	13.10971	0.990122	0.997455	1.00251	1.00991	3.38894
1980	-465.0846	-453.8871	-11.19748	45221.11	8.83115	0.994029	0.998467	1.00152	1.00598	3.566523
1990	-460.4776	-453.9701	-6.507499	68244.23	12.27167	0.995138	0.998753	1.00124	1.00487	3.227576
2000	-471.4067	-460.3954	-11.01137	43388.24	8.811723	0.993904	0.998435	1.00155	1.00611	3.54346
2010	-461.2282	-458.1945	-3.033717	52841.39	11.56312	0.994476	0.998582	1.00141	1.00554	2.926312
2020	-465.4393	-460.4399	-4.99936	11203.59	12.89699	0.988017	0.996907	1.00304	1.01203	3.10245
2030	-462.2872	-457.1618	-5.125376	11168.44	12.90641	0.987998	0.996902	1.00305	1.01205	3.112123
2040	-456.6475	-455.3265	-1.321016	36875.19	14.23908	0.993388	0.998302	1.00168	1.00663	2.817904
2050	-452.648	-449.6226	-3.02536	46028.63	9.625307	0.994082	0.998481	1.00151	1.00593	2.773531
2060	-450.489	-448.8588	-1.630264	49706.4	12.92689	0.994304	0.998538	1.00145	1.00571	2.841529
2070	-462.5006	-457.9286	-4.572025	31589.11	14.92748	0.992857	0.998164	1.00182	1.00716	3.026193
2080	-451.0563	-451.1442	0.08789131	15380.23	13.61627	0.989769	0.997364	1.0026	1.01027	2.7178
2090	-464.864	-454.8044	-10.05956	75222.25	15.96864	0.995369	0.998812	1.00118	1.00464	3.3326
2100	-455.8914	-461.1055	5.214072	93379.46	14.47956	0.995843	0.998934	1.00106	1.00416	2.363872
2110	-452.6205	-454.1831	1.562621	32201.33	14.80276	0.992925	0.998182	1.0018	1.00709	2.615711
2120	-460.8063	-453.7317	-7.074597	7986.96	10.45612	0.985813	0.996332	1.0036	1.01426	3.249161
2130	-463.6341	-456.573	-7.061006	8089.457	10.2309	0.985903	0.996355	1.00357	1.01417	3.236499
2140	-463.5004	-460.8219	-2.678535	64707.77	17.45581	0.995007	0.998719	1.00127	1.005	2.817944
2150	-463.3728	-458.4026	-4.970114	85986.15	10.64634	0.995669	0.998889	1.0011	1.00434	3.059292
2160	-451.7591	-452.9044	1.145295	61638.83	13.34212	0.994885	0.998688	1.0013	1.00512	2.635998
2170	-452.7455	-456.1664	3.420892	67818.52	16.95805	0.995123	0.998749	1.00124	1.00489	2.476906
2180	-452.5927	-461.1691	8.576361	35627.46	16.91687	0.993274	0.998272	1.00171	1.00674	2.172777
2190	-455.5626	-460.4801	4.91751	88369.57	16.11737	0.995727	0.998905	1.00109	1.00428	2.394334
2200	-460.1061	-455.9425	-4.16351	36281.47	11.41409	0.993335	0.998288	1.0017	1.00668	3.019517
2210	-457.6421	-456.7967	-0.8454335	74651.66	12.31189	0.995352	0.998808	1.00118	1.00466	2.767389
2220	-462.4594	-453.46	-8.999393	84734.63	10.56858	0.995637	0.998881	1.00111	1.00437	3.436085
2230	-468.4097	-465.6363	-2.773385	34985.57	11.95334	0.993212	0.998256	1.00173	1.0068	2.916316
2240	-457.367	-455.7707	-1.596251	90236.44	12.90303	0.995772	0.998916	1.00108	1.00423	2.838647
2250	-461.5618	-458.5722	-2.98955	67887.72	13.31505	0.995126	0.99875	1.00124	1.00488	2.946049
2260	-451.5302	-454.8174	3.287266	36008.95	16.76939	0.993309	0.998281	1.0017	1.00671	2.487638
2270	-457.855	-457.7496	-0.1054003	24005.49	13.70235	0.991808	0.997893	1.00208	1.00822	2.732433
2280	-453.7245	-458.0676	4.343115	29405.19	15.78949	0.992597	0.998097	1.00188	1.00742	2.431217
2290	-453.1492	-459.2608	6.111586	74682.99	19.19103	0.995353	0.998808	1.00118	1.00466	2.289503
2300	-453.8596	-453.9366	0.07695703	72512.34	14.68836	0.995284	0.99879	1.0012	1.00472	2.717131
2310	-459.2415	-458.907	-0.3345323	40491.49	15.81425	0.99369	0.99838	1.00161	1.00632	2.726946
2320	-453.7337	-446.0595	-7.674261	23798.61	9.569613	0.991772	0.997883	1.00209	1.00825	3.251772
2330	-458.3861	-458.9837	0.5975612	92809.22	13.15764	0.995831	0.998931	1.00106	1.00418	2.674003
2340	-455.7426	-464.2004	8.45773	16165.49	16.3453	0.99002	0.997429	1.00254	1.01001	2.176792
2350	-446.0615	-457.6998	11.63826	15909.57	19.06697	0.989941	0.997408	1.00256	1.0101	2.0019
2360	-453.5229	-451.5142	-2.008678	62752.87	10.97929	0.99493	0.998699	1.00129	1.00508	2.80572
2370	-448.4049	-450.2364	1.831496	30681.95	13.88175	0.992753	0.998137	1.00184	1.00727	2.593426
2380	-464.4613	-462.641	-1.820296	66939.26	16.39387	0.995091	0.998741	1.00125	1.00492	2.804114
2390	-458.9725	-458.8302	-0.1423025	47444.82	13.61493	0.99417	0.998503	1.00148	1.00584	2.734698
2400	-460.616	-461.1037	0.487728	15824.57	17.8172	0.989914	0.997401	1.00256	1.01012	2.626177
2410	-465.4729	-455.6444	-9.828497	69819.67	11.75326	0.995194	0.998767	1.00122	1.00481	3.51075
2420	-446.6699	-449.6629	2.992951	97853.58	21.83928	0.995939	0.998959	1.00103	1.00407	2.373103
2430	-456.4988	-453.859	-2.639813	1730.618	10.32873	0.969612	0.992031	1.00764	1.03072	2.813679
2440	-449.4121	-448.6425	-0.7695775	1249.613	13.27724	0.964274	0.990588	1.00895	1.03618	2.779026
2450	-458.7535	-457.9307	-0.8228143	44309.04	18.92046	0.993968	0.998451	1.00154	1.00605	2.660838
2460	-453.1225	-454.085	0.9624069	76879.32	15.63016	0.995419	0.998825	1.00117	1.00459	2.647728
2470	-452.4175	-453.7741	1.356537	90866.66	14.97853	0.995786	0.99892	1.00107	1.00422	2.628739
2480	-463.0305	-459.0788	-3.951705	28018.42	11.66705	0.992416	0.99805	1.00193	1.0076	3.00859
2490	-470.8357	-463.5554	-7.280267	7769.268	12.19872	0.985616	0.99628	1.00365	1.01446	3.291382
