Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
570	-461.254	-459.4599	-1.794077	8118.442	14.73405	0.985928	0.996362	1.00357	1.01414	2.843714
580	-479.3646	-460.8398	-18.52476	98064.01	12.8888	0.995944	0.99896	1.00103	1.00406	4.15192
590	-456.1281	-457.3222	1.194113	64581.03	10.36314	0.995003	0.998718	1.00127	1.00501	2.446873
600	-466.595	-457.626	-8.969046	62415.36	11.76884	0.994917	0.998696	1.00129	1.00509	3.437425
610	-455.9753	-455.1944	-0.7809215	54510.81	12.52326	0.994561	0.998604	1.00139	1.00545	2.767883
620	-454.0865	-455.468	1.381533	97965.22	11.63157	0.995942	0.99896	1.00103	1.00406	2.549127
630	-450.8532	-452.9311	2.077951	11005.97	14.36976	0.98791	0.996879	1.00307	1.01214	2.579989
640	-462.1965	-460.2313	-1.965171	48008.01	11.49957	0.994205	0.998512	1.00148	1.00581	2.83102
650	-444.9442	-447.5055	2.561363	97521.16	14.28556	0.995933	0.998957	1.00104	1.00407	2.545669
660	-463.5811	-456.1054	-7.475663	24357.56	11.27304	0.991867	0.997908	1.00207	1.00816	3.308388
670	-466.4383	-456.3454	-10.093	68002.73	10.95017	0.99513	0.998751	1.00124	1.00488	3.542052
680	-464.1874	-452.7593	-11.4281	48645.17	9.2911	0.994243	0.998522	1.00147	1.00577	3.628932
690	-452.7622	-458.5449	5.78265	33499.31	15.15985	0.993064	0.998218	1.00177	1.00695	2.335485
700	-462.2501	-458.2727	-3.97742	63539.9	14.2477	0.994962	0.998708	1.00128	1.00505	3.004264
710	-467.1945	-461.0744	-6.120086	65599.62	14.16122	0.995042	0.998728	1.00126	1.00497	3.15751
720	-465.4838	-464.7317	-0.7520666	79811.47	14.5911	0.995504	0.998847	1.00115	1.0045	2.774725
730	-469.6907	-466.3913	-3.299452	7302.13	15.10793	0.985164	0.996162	1.00376	1.01491	2.936037
740	-461.3003	-455.87	-5.430311	27996.03	12.45967	0.992413	0.998049	1.00193	1.00761	3.139434
750	-461.8116	-455.0885	-6.723153	36614.93	10.56841	0.993365	0.998296	1.00169	1.00665	3.2207
760	-464.1202	-461.1817	-2.938466	97397.02	11.93534	0.99593	0.998957	1.00104	1.00408	2.92967
770	-460.4894	-456.4566	-4.032821	25042.29	15.61532	0.991979	0.997937	1.00204	1.00804	2.967833
780	-454.6933	-450.7177	-3.975605	17703.87	14.22028	0.990463	0.997544	1.00242	1.00957	3.004761
790	-457.8049	-454.3949	-3.410002	62011.75	12.20585	0.9949	0.998692	1.0013	1.00511	2.974223
800	-452.7735	-456.1717	3.398164	51142.01	17.92113	0.994385	0.998559	1.00143	1.00563	2.460691
810	-444.8336	-448.9743	4.140648	35524.86	15.33356	0.993264	0.998269	1.00171	1.00675	2.444311
820	-451.9336	-447.293	-4.640621	44469.59	19.2322	0.993979	0.998454	1.00153	1.00603	2.847816
830	-461.0579	-449.4546	-11.60326	84692.69	12.90255	0.995636	0.998881	1.00111	1.00437	3.614226
840	-456.0709	-455.4827	-0.5882568	59503.45	11.8075	0.994794	0.998664	1.00133	1.00522	2.727118
850	-459.9567	-451.4313	-8.525377	27973.37	9.051554	0.99241	0.998049	1.00193	1.00761	3.29126
860	-459.4469	-449.4998	-9.947173	15609.59	12.33416	0.989845	0.997383	1.00258	1.01019	3.505969
870	-462.0817	-450.5709	-11.51081	78057.66	8.443801	0.995454	0.998834	1.00116	1.00455	3.558628
880	-466.126	-460.8258	-5.300203	43702.29	11.0048	0.993926	0.99844	1.00155	1.00609	3.106498
890	-465.9586	-460.8973	-5.061214	38929.68	13.26991	0.993565	0.998347	1.00164	1.00645	3.102376
900	-457.4985	-459.4184	1.919925	45737.23	15.91722	0.994063	0.998476	1.00151	1.00595	2.583093
910	-451.8379	-456.7605	4.922582	13724.92	19.5772	0.989171	0.997208	1.00275	1.01087	2.342854
920	-455.2789	-455.862	0.5831005	59711.13	12.84334	0.994803	0.998667	1.00132	1.00521	2.66828
930	-460.9945	-458.5683	-2.426213	21037.53	11.74576	0.99125	0.997748	1.00222	1.00878	2.880682
940	-453.5277	-451.629	-1.898715	1674.715	13.54767	0.969112	0.991897	1.00776	1.03123	2.863927
950	-459.7186	-453.228	-6.490596	4814.613	12.59533	0.981741	0.995262	1.00462	1.01838	3.222897
960	-447.6452	-450.1242	2.478941	56407.22	14.96348	0.994653	0.998628	1.00136	1.00536	2.55382
970	-454.6081	-451.1714	-3.436683	85912.56	14.5568	0.995667	0.998889	1.0011	1.00434	2.959529
980	-458.525	-452.5764	-5.948656	59825.93	12.65653	0.994808	0.998668	1.00132	1.0052	3.179229
990	-460.6384	-456.6541	-3.984244	3758.468	11.62563	0.979343	0.994628	1.00522	1.02081	3.010278
1000	-456.4141	-456.2884	-0.1257332	44032.29	10.69266	0.993949	0.998446	1.00154	1.00606	2.608763
1010	-464.3898	-461.2536	-3.136199	67451.65	10.70268	0.99511	0.998746	1.00125	1.0049	2.891003
1020	-459.3136	-461.6721	2.358525	84122.03	19.21034	0.995621	0.998877	1.00112	1.00439	2.484514
1030	-464.8437	-463.1811	-1.662583	70018.99	11.69956	0.9952	0.998769	1.00122	1.00481	2.813766
1040	-444.7451	-449.9743	5.229291	37425.3	17.11441	0.993437	0.998314	1.00167	1.00658	2.368772
1050	-457.8927	-452.4983	-5.394442	20288.57	17.96452	0.99109	0.997707	1.00227	1.00894	2.949227
1060	-450.859	-448.7175	-2.141518	3461.034	12.02775	0.978477	0.994399	1.00544	1.02169	2.865657
1070	-454.7794	-453.5944	-1.18508	75229.24	12.71209	0.995369	0.998813	1.00118	1.00464	2.803859
1080	-456.0719	-450.2529	-5.818982	82599.21	10.55725	0.995581	0.998867	1.00113	1.00443	3.134568
1090	-465.7251	-457.2785	-8.446578	45742.72	9.733563	0.994063	0.998476	1.00151	1.00595	3.344531
1100	-457.6335	-456.9653	-0.6681863	58878.64	10.2628	0.994766	0.998657	1.00133	1.00524	2.615342
1110	-459.4986	-453.2827	-6.21586	73370.67	10.70052	0.995311	0.998798	1.00119	1.0047	3.178658
1120	-449.9074	-445.1799	-4.727577	56674.2	14.00202	0.994666	0.998631	1.00136	1.00534	3.063129
1130	-461.3997	-457.9712	-3.428564	82430	11.36036	0.995576	0.998866	1.00113	1.00443	2.953021
1140	-455.5331	-452.7174	-2.815653	8439.181	16.94188	0.986197	0.996432	1.0035	1.01387	2.845267
1150	-469.6641	-460.38	-9.284145	51870.88	10.74881	0.994424	0.998569	1.00142	1.00559	3.466108
1160	-455.6719	-456.7236	1.051671	31581.96	13.69573	0.992857	0.998164	1.00182	1.00716	2.647919
1170	-461.5867	-456.0953	-5.491378	93280.06	12.25402	0.995841	0.998934	1.00106	1.00416	3.144776
1180	-452.2256	-449.582	-2.643596	5061.327	12.60393	0.98219	0.99538	1.00451	1.01792	2.91756
1190	-457.2476	-459.4466	2.199074	15676.67	16.53312	0.989866	0.997389	1.00257	1.01017	2.556677
1200	-469.6571	-463.6599	-5.997192	44315.59	9.918594	0.993968	0.998451	1.00154	1.00604	3.1093
1210	-464.6814	-457.439	-7.242368	6373.011	11.84401	0.984123	0.995888	1.00402	1.01597	3.290595
